"TreeID","Site","Canopy.Class","Species","DBH"
"NRP1016","NR","Overstory","FAGR",57.2
"NRP3001","NR","Overstory","TSCA",66.4
"NRP4130","NR","Overstory","TSCA",49.5
"NRP4095","NR","Overstory","TSCA",42.2
"NRP4089","NR","Overstory","TSCA",46
"NRP4112","NR","Overstory","TSCA",33.5
"NRP4078","NR","Overstory","TSCA",32.4
"NRP4129","NR","Overstory","TSCA",39
"NRP4134","NR","Overstory","TSCA",53.5
"NRP4143","NR","Overstory","TSCA",35.4
"NRP4096","NR","Overstory","TSCA",33.3
"NRP4048","NR","Overstory","TSCA",30.5
"NRP4020","NR","Overstory","TSCA",39.6
"NRP3048","NR","Overstory","QURU",57.3
"NRP4142","NR","Overstory","TSCA",38.2
"NRP4009","NR","Understory","TSCA",22.2
"NRP3038","NR","Overstory","TSCA",32.6
"NRP2011","NR","Understory","FAGR",13.9
"NRP4099","NR","Overstory","TSCA",41.3
"NRP4131","NR","Overstory","QURU",47.5
"NRP4147","NR","Overstory","TSCA",49
"PS2141","PS","Overstory","TSCA",39.2
"PS2143","PS","Overstory","TSCA",50.5
"PS2137","PS","Overstory","TSCA",40.5
"PS2115","PS","Overstory","FAGR",28
"PS2098","PS","Overstory","TSCA",42
"PS2090","PS","Overstory","TSCA",42
"PS2083","PS","Overstory","TSCA",31.8
"PS2076","PS","Overstory","TSCA",42.3
"PS2054","PS","Overstory","TSCA",25
"PS2049","PS","Overstory","TSCA",24.6
"PS2046","PS","Overstory","TSCA",34.5
"PS1131","PS","Overstory","TSCA",34.9
"PS1138","PS","Overstory","TSCA",30.6
"PS1129","PS","Overstory","FAGR",33.3
"PS1130","PS","Overstory","FAGR",28.8
"PS1123","PS","Overstory","TSCA",23.4
"PS1119","PS","Overstory","FAGR",29
"PS1111","PS","Middle","TSCA",25.6
"PS1107","PS","Overstory","TSCA",36.8
"PS1105","PS","Overstory","TSCA",32
"PS1101","PS","Overstory","TSCA",43.9
"PS1097","PS","Middle","TSCA",20.7
"PS1094","PS","Middle","TSCA",25.2
"PS1095","PS","Overstory","TSCA",29.9
"PS1091","PS","Overstory","TSCA",33.2
"PS1088","PS","Overstory","TSCA",35.9
"PS1082","PS","Overstory","TSCA",36.1
"PS1072","PS","Middle","ACRU",15.5
"PS1073","PS","Understory","TSCA",15
"PS1033","PS","Overstory","FAGR",25.7
"PS1034","PS","Overstory","FAGR",39
"PS1060","PS","Overstory","TSCA",43.4
"PS1057","PS","Overstory","TSCA",39.3
"PS1053","PS","Overstory","TSCA",42.4
"PS1055","PS","Overstory","TSCA",33
"PS1043","PS","Overstory","TSCA",27
"PS1040","PS","Overstory","TSCA",38
"PS1035","PS","Overstory","TSCA",36.5
"PS1004","PS","Overstory","TSCA",37.5
"PS1025","PS","Overstory","TSCA",34.5
"PS1021","PS","Overstory","TSCA",33.9
"PS1022","PS","Overstory","TSCA",36
"PS1013","PS","Overstory","FAGR",28.2
"PS1002","PS","Overstory","FAGR",37.7
"PS2144","PS","Overstory","TSCA",53.2
"PS2138","PS","Overstory","TSCA",36.9
"PS2106","PS","Overstory","TSCA",34.3
"PS2107","PS","Overstory","TSCA",65.6
"PS2104","PS","Overstory","TSCA",56.5
"PS1099","PS","Overstory","ACRU",36.3
"PS1039","PS","Understory","TSCA",10.7
"PS2075","PS","Overstory","TSCA",43
"PS2071","PS","Overstory","TSCA",39.2
"PS2067","PS","Overstory","TSCA",21.2
"PS2064","PS","Overstory","TSCA",24.4
"PS2065","PS","Middle","FAGR",20.4
"PS2058","PS","Overstory","TSCA",29.7
"PS1067","PS","Overstory","TSCA",32
"PS2045","PS","Understory","TSCA",13.4
"PS2031","PS","Overstory","TSCA",50.3
"PS1136","PS","Overstory","TSCA",38.5
"PS1133","PS","Overstory","TSCA",50.7
"PS1102","PS","Overstory","TSCA",31.2
"PS1098","PS","Overstory","TSCA",37.3
"PS1103","PS","Overstory","ACRU",30.2
"PS1124","PS","Overstory","TSCA",24.6
"PS1122","PS","Overstory","FAGR",31.2
"PS1110","PS","Overstory","TSCA",34.9
"PS1106","PS","Overstory","ACRU",31.9
"PS1074","PS","Middle","TSCA",20.7
"PS1092","PS","Overstory","TSCA",27.8
"PS1090","PS","Overstory","TSCA",34.6
"PS1071","PS","Understory","TSCA",19.2
"PS1083","PS","Overstory","TSCA",41
"PS1089","PS","Overstory","TSCA",33.7
"PS1081","PS","Understory","TSCA",13.2
"PS1087","PS","Middle","TSCA",23
"PS1041","PS","Overstory","FAGR",35.1
"PS1058","PS","Overstory","TSCA",39.9
"PS1061","PS","Overstory","TSCA",40.2
"PS1047","PS","Understory","TSCA",10.5
"PS1014","PS","Overstory","FAGR",43
"PS1011","PS","Overstory","FAGR",27.5
"PS1016","PS","Overstory","TSCA",25.2
"PS1024","PS","Overstory","TSCA",35
"PS1093","PS","Overstory","TSCA",23.3
"PS1062","PS","Overstory","TSCA",31.1
"PS2037","PS","Overstory","TSCA",49.3
"PS1020","PS","Overstory","TSCA",38.2
"PS1030","PS","Overstory","TSCA",35
"PS2068","PS","Overstory","TSCA",33.2
"RH2117","RH","Overstory","QURU",40.4
"RH2013","RH","Overstory","QURU",42.4
"RH2114","RH","Overstory","QURU",48.1
"RH2110","RH","Middle","QURU",34
"RH2085","RH","Middle","ACRU",30.1
"RH2049","RH","Overstory","QURU",56.5
"RH2075","RH","Middle","QURU",34.6
"RH2072","RH","Overstory","QURU",42.6
"RH2073","RH","Overstory","QURU",39
"RH2068","RH","Overstory","QURU",37.6
"RH2060","RH","Overstory","QURU",42.7
"RH2054","RH","Overstory","QURU",40.6
"RH1005","RH","Middle","ACRU",17.2
"RH2041","RH","Middle","ACRU",34.7
"RH2036","RH","Overstory","QURU",44.7
"RH2037","RH","Overstory","QURU",42.6
"RH2033","RH","Overstory","QURU",37.5
"RH2020","RH","Overstory","QURU",47.2
"RH2014","RH","Overstory","QURU",34.2
"RH2010","RH","Overstory","QURU",50.7
"RH2011","RH","Overstory","QURU",48.2
"RH1094","RH","Overstory","QURU",46.1
"RH1086","RH","Overstory","ACRU",23.5
"RH1043","RH","Overstory","QURU",33.6
"RH1044","RH","Overstory","QURU",35.2
"RH1079","RH","Overstory","QURU",43.4
"RH1066","RH","Middle","QURU",21.3
"RH1045","RH","Overstory","QURU",24.7
"RH1042","RH","Overstory","QURU",43.5
"RH1022","RH","Overstory","QURU",27.4
"RH1016","RH","Overstory","QURU",40.9
"RH2086","RH","Overstory","QURU",55.1
"RH2053","RH","Overstory","QURU",43.9
"RH2115","RH","Overstory","ACRU",42.2
"RH2111","RH","Overstory","QURU",36.3
"RH2113","RH","Middle","ACRU",33.5
"RH2089","RH","Overstory","QURU",49.7
"RH2052","RH","Middle","ACRU",20.6
"RH1047","RH","Overstory","QURU",23.9
"RH2076","RH","Overstory","QURU",66
"RH2070","RH","Middle","QURU",30.9
"RH2065","RH","Overstory","QURU",53.4
"RH2061","RH","Middle","ACRU",22.8
"RH2015","RH","Overstory","QURU",32.1
"RH1014","RH","Overstory","QURU",60
"RH2034","RH","Overstory","QURU",31.4
"RH1046","RH","Overstory","QURU",36.5
"RH1097","RH","Middle","FAGR",21.2
"RH1073","RH","Overstory","QURU",35.5
"RH1067","RH","Middle","QURU",21.8
"RH1080","RH","Overstory","QURU",33.7
"RH1057","RH","Overstory","QURU",38.5
"RH1040","RH","Overstory","ACRU",23.7
"RH1023","RH","Overstory","QURU",41.1
