Tower,TreeID,Species,DBH,Distance,Azimuth,Status,Class,NOTES
Duke Loblolly Plot C,DLC993,PITA,22,1.63,126,ST,4,
Savannah River Plot B,SRB999,PIPA,20,3.59,152,ST,5,evidence of burning
Savannah River Plot C,SRC999,PIPA,26,8.9,297,LO,2,NO MAP
Florida Plantation Plot A,FPA999,PIEL,21,7.8,3,ST,4,cut during thinning
Florida Plantation Plot A,FPA998,PIEL,14,9.76,297,ST,3,cut during thinning
Florida Plantation Plot A,FPA997,PIEL,19,8.94,305,ST,4,cut during thinning
Florida Plantation Plot A,FPA996,PIEL,15,12.55,283,ST,4,cut during thinning
Florida Plantation Plot A,FPA995,PIEL,26,11.05,204,ST,4,cut during thinning
Florida Plantation Plot A,FPA994,PIEL,23,5.5,144,ST,3,cut during thinning
Florida Plantation Plot A,FPA993,PIEL,12,10.86,150,ST,3,cut during thinning
Florida Plantation Plot A,FPA992,PIEL,18,9.91,120,ST,4,cut during thinning
Florida Plantation Plot A,FPA991,PIEL,19,10.68,115,ST,4,cut during thinning
Florida Plantation Plot A,FPA990,PIEL,18,12.78,107,ST,4,cut during thinning
Florida Plantation Plot A,FPA989,PIEL,13,12.16,93,ST,3,cut during thinning
Florida Plantation Plot A,FPA988,PIEL,23,11.64,95,ST,3,cut during thinning
Florida Plantation Plot A,FPA987,PIEL,19,5.74,93,ST,3,cut during thinning
Florida Plantation Plot A,FPA986,PIEL,17,2.14,137,ST,3,cut during thinning
Florida Plantation Plot A,FPA985,PIEL,12,2.53,39,ST,3,cut during thinning
Florida Plantation Plot B,FPB999,PIEL,30,7.52,160,ST,2,cut during thinning
Florida Plantation Plot B,FPB998,PIEL,15,12.08,110,LO,3,
Florida Plantation Plot B,FPB997,PIEL,19,6.02,118,ST,2,cut during thinning
Florida Plantation Plot B,FPB996,PIEL,16,6.24,205,ST,3,cut during thinning
Florida Plantation Plot B,FPB995,PIEL,20,8.71,216,ST,4,cut during thinning
Florida Plantation Plot B,FPB994,PIEL,17,10.31,221,ST,3,cut during thinning
Florida Plantation Plot B,FPB993,PIEL,15,11.92,224,ST,3,cut during thinning
Florida Plantation Plot B,FPB992,PIEL,14,12.93,225,ST,3,cut during thinning
Florida Plantation Plot B,FPB991,PIEL,22,10.41,227,ST,5,cut during thinning
Florida Plantation Plot B,FPB990,PIEL,17,4.84,227,ST,3,cut during thinning
Florida Plantation Plot B,FPB989,PIEL,15,4.56,85,LO,4,
Florida Plantation Plot B,FPB988,PIEL,22,4.29,48,ST,3,cut during thinning
Florida Plantation Plot B,FPB987,PIEL,14,1.59,325,ST,2,cut during thinning
Florida Plantation Plot B,FPB986,PIEL,20,6.39,353,ST,5,cut during thinning
Florida Plantation Plot B,FPB985,PIEL,20,10.82,337,ST,3,cut during thinning
Florida Plantation Plot B,FPB984,PIEL,16,10.64,332,ST,3,cut during thinning
Florida Plantation Plot B,FPB983,PIEL,20,12.49,298,ST,3,cut during thinning
Florida Plantation Plot B,FPB982,PIEL,20,12.38,310,ST,3,cut during thinning
Florida Plantation Plot B,FPB981,PIEL,20,11.79,315,ST,3,cut during thinning
Florida Plantation Plot B,FPB980,PIEL,15,8.18,319,ST,3,cut during thinning
Florida Plantation Plot C,FPC999,PIEL,21,3.13,12,ST,4,cut during thinning
Florida Plantation Plot C,FPC998,PIEL,30,10.35,260,ST,3,cut during thinning
Florida Plantation Plot C,FPC997,PIEL,15,7.48,144,ST,2,cut during thinning
Florida Plantation Plot C,FPC996,PIEL,11,5.12,341,ST,4,cut during thinning
Austin Cary Plot A,ACA999,PIPA,14,6.9,171,LO,5,"other CWD, but not large enough to measure"
Austin Cary Plot B,ACB999,PIPA,24,14.41,237,ST,3,"BURNED STUMP, ABOUT 1.3M CUT DOWN"
Austin Cary Plot B,ACB998,PIPA,32,19.38,336,LO,5,
Austin Cary Plot B,ACB997,PIPA,32,11.48,267,LO,5,
Austin Cary Plot C,ACC999,PIPA,40,4.78,315,LO,5,
Austin Cary Plot C,ACC998,PIPA,16,10.74,96,LO,5,
