scientific,common,acronym,spcd,pft,PalEON,CLM,Supplement Table S2:
Nyssa sylvatica,blackgum   ,NYSY,693,SMH,Other hardwood,BLD,
Nyssa sylvatica_2,blackgum   ,NYSY,693,SMH,Other hardwood,BLD,
Quercus ,oak spp. -- Deciduous,QUERC,797,SMH,Oak,BLD,
Quercus ,oak spp. -- Deciduous,QUERC,798,SMH,Oak,BLD,
Quercus ,oak spp. -- Deciduous,QUERC,799,SMH,Oak,BLD,
Quercus ,oak spp. -- Deciduous,QUERC,800,SMH,Oak,BLD,
Quercus buckleyi,Buckley oak,QUBU2,828,SMH,Oak,BLD,
Quercus coccinea,scarlet oak  ,QUCO2,806,SMH,Oak,BLD,
Quercus dusomething,oak spp. -- Deciduous,QUERC,800,SMH,Oak,BLD,
Quercus falcata,southern red oak,QUFA,812,SMH,Oak,BLD,
Quercus imbricaria,shingle oak,QUIM,817,SMH,Oak,BLD,
Quercus incana,bluejack oak,QUIN,842,SMH,Oak,BLD,
Quercus laevis,turkey oak,QULA2,819,SMH,Oak,BLD,
Quercus laurifolia,laurel oak,QULA3,820,SMH,Oak,BLD,
Quercus margarettiae,runner oak,QUMA6,840,SMH,Oak,BLD,
Quercus marilandica,blackjack oak,QUMA3,824,SMH,Oak,BLD,
Quercus michauxii,swamp chestnut oak,QUMI,825,SMH,Oak,BLD,
Quercus muehlenbergii,chinkapin oak,QUMU,826,SMH,Oak,BLD,
Quercus nigra,water oak ,QUNI,827,SMH,Oak,BLD,
Quercus nuttalli,oak spp. -- Deciduous,QUERC,800,SMH,Oak,BLD,
Quercus oglethorpensis,Oglethorpe oak,QUOG,844,SMH,Oak,BLD,
Quercus pagoda,cherrybark oak ,QUPA5,813,SMH,Oak,BLD,
Quercus phellos,willow oak ,QUPH,831,SMH,Oak,BLD,
Quercus prinus,chestnut oak  ,QUPR2,832,SMH,Oak,BLD,
Quercus shumardii,Shumard's oak,QUSH,834,SMH,Oak,BLD,
Quercus similis,Delta post oak,QUSI2,836,SMH,Oak,BLD,
Quercus sinuata var sinuata,Durand oak,QUSIS,808,SMH,Oak,BLD,
Quercus stellata,post oak,QUST,835,SMH,Oak,BLD,
Quercus stellata var margaretta,post oak,QUST,835,SMH,Oak,BLD,
Triadica sebifera,Chinese tallowtree,TRSE6,994,SMH,Other hardwood,BLD,
Ulmus alata,winged elm,ULAL,971,SMH,Elm,BLD,
Ulmus crassifolia,cedar elm,ULCR,973,SMH,Elm,BLD,
Ulmus serotina,September elm,ULSE,976,SMH,Elm,BLD,
Pinus clausa,Sand pine,PICL,107,SP,Pine,CEG,
Pinus echinata,shortleaf pine,PIEC2,110,SP,Pine,CEG,
Pinus elliottii,slash pine  ,PIEL,111,SP,Pine,CEG,
Pinus glabra,spruce pine,PIGL2,115,SP,Pine,CEG,
Pinus palustris,longleaf pine  ,PIPA2,121,SP,Pine,CEG,
Pinus pungens,Table Mountain pine ,PIPU5,123,SP,Pine,CEG,
Pinus serotina,pond pine,PISE,128,SP,Pine,CEG,
Pinus taeda,loblolly pine  ,PITA,131,SP,Pine,CEG,
Pinus taeda,loblolly pine  ,PITA,131,SP,Pine,CEG,
Pinus virginiana,Virginia pine,PIVI2,132,SP,Pine,CEG,
