CoreID,TreeID,plot.id,Site,tree.number,species,canopy.class,live.dead,dbh,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie
HOW1044S,HOW1044,1,HOW,044,,,,,1,2,S,NA,NA,1887,1887,2013,Y,1887,2013,Y,,
HOW1045E,HOW1045,1,HOW,045,,,,,1,2,E,NA,NA,1903,1903,2013,Y,1903,2013,Y,,
HOW1045W,HOW1045,1,HOW,045,,,,,1,2,W,NA,NA,1903,1903,2013,Y,1903,2013,Y,,
HOW1046E,HOW1046,1,HOW,046,,,,,1,2,E,NA,NA,1874,1874,2009,Y,1874,2009,Y,,
HOW1046W,HOW1046,1,HOW,046,,,,,1,2,W,NA,NA,1874,1874,2011,Y,1874,2011,Y,,
HOW1047E,HOW1047,1,HOW,047,,,,,1,2,E,NA,NA,1934,1934,2013,Y,1934,2013,Y,,
HOW1047W,HOW1047,1,HOW,047,,,,,1,2,W,NA,NA,1934,1934,2013,Y,1934,2013,Y,,
HOW1048N,HOW1048,1,HOW,048,,,,,1,2,N,NA,NA,1933,1933,2013,Y,1933,2013,Y,,
HOW1048S,HOW1048,1,HOW,048,,,,,1,2,S,NA,NA,1933,1933,2013,Y,1933,2013,Y,,
HOW1049E,HOW1049,1,HOW,049,,,,,1,2,E,NA,NA,1862,1862,2013,Y,1862,2013,Y,,
HOW1049W,HOW1049,1,HOW,049,,,,,1,2,W,NA,NA,1875,1875,2013,Y,1875,2013,Y,,
HOW1050N,HOW1050,1,HOW,050,,,,,1,2,N,NA,NA,1869,1869,2009,Y,1869,2009,Y,,
HOW1051E,HOW1051,1,HOW,051,,,,,1,2,E,NA,NA,1891,1891,2013,Y,1891,2013,Y,,
HOW1051W,HOW1051,1,HOW,051,,,,,1,2,W,NA,NA,1876,1876,2013,Y,1876,2013,Y,,
HOW1052N,HOW1052,1,HOW,052,,,,,1,2,N,NA,NA,1875,1875,2013,Y,1875,2013,Y,,
HOW1052S,HOW1052,1,HOW,052,,,,,1,2,S,NA,NA,1875,1875,2013,Y,1875,2013,Y,,
HOW1053E,HOW1053,1,HOW,053,,,,,1,2,E,NA,NA,1863,1863,2013,Y,1863,2013,Y,,
HOW1053W,HOW1053,1,HOW,053,,,,,1,2,W,NA,NA,1864,1864,2013,Y,1864,2013,Y,,
HOW1054E,HOW1054,1,HOW,054,,,,,1,2,E,NA,NA,1884,1884,2013,Y,1884,2013,Y,,
HOW1054W,HOW1054,1,HOW,054,,,,,1,2,W,NA,NA,1883,1883,2013,Y,1883,2013,Y,,
HOW1055N,HOW1055,1,HOW,055,,,,,1,2,N,NA,NA,1866,1866,2013,Y,1866,2013,Y,,
HOW1055S,HOW1055,1,HOW,055,,,,,1,2,S,NA,NA,1867,1867,2013,Y,1867,2013,Y,,
HOW1061E,HOW1061,1,HOW,061,,,,,1,2,E,NA,NA,1911,1911,2013,Y,1911,2013,Y,,
HOW1061W,HOW1061,1,HOW,061,,,,,1,2,W,NA,NA,1911,1911,2013,Y,1911,2013,Y,,
HOW1062E,HOW1062,1,HOW,062,,,,,1,2,E,NA,NA,1953,1953,2013,Y,1953,2013,Y,,
HOW1062W,HOW1062,1,HOW,062,,,,,1,2,W,NA,NA,1953,1953,2013,Y,1953,2013,Y,,
HOW1063E,HOW1063,1,HOW,063,,,,,1,2,E,NA,NA,1970,1970,2013,Y,1970,2013,Y,,
HOW1064E,HOW1064,1,HOW,064,,,,,1,2,E,NA,NA,1942,1942,2013,Y,1942,2013,Y,,
HOW1064W,HOW1064,1,HOW,064,,,,,1,2,W,NA,NA,1943,1943,2013,Y,1943,2013,Y,,
HOW1065E,HOW1065,1,HOW,065,,,,,1,2,E,NA,NA,1884,1884,2013,Y,1884,2013,Y,,
HOW1065W,HOW1065,1,HOW,065,,,,,1,2,W,NA,NA,1880,1880,2013,Y,1880,2013,Y,,
HOW1066N,HOW1066,1,HOW,066,,,,,1,2,N,NA,NA,1871,1871,2013,Y,1871,2013,Y,,
HOW1066S,HOW1066,1,HOW,066,,,,,1,2,S,NA,NA,1871,1871,2013,Y,1871,2013,Y,,
HOW1067E,HOW1067,1,HOW,067,,,,,1,2,E,NA,NA,1871,1871,2013,Y,1871,2013,Y,,
HOW1067W,HOW1067,1,HOW,067,,,,,1,2,W,NA,NA,1871,1871,2013,Y,1871,2013,Y,,
HOW1068N,HOW1068,1,HOW,068,,,,,1,2,N,NA,NA,1890,1890,2013,Y,1890,2013,Y,,
HOW1068S,HOW1068,1,HOW,068,,,,,1,2,S,NA,NA,1890,1890,2013,Y,1890,2013,Y,,
HOW1069E,HOW1069,1,HOW,069,,,,,1,2,E,NA,NA,1925,1925,2013,Y,1925,2013,Y,,
HOW1069W,HOW1069,1,HOW,069,,,,,1,2,W,NA,NA,1944,1944,2013,Y,1944,2013,Y,,
HOW1070E,HOW1070,1,HOW,070,,,,,1,2,E,NA,NA,1955,1955,2013,Y,1955,2013,Y,,
HOW1070W,HOW1070,1,HOW,070,,,,,1,2,W,NA,NA,1955,1955,2013,Y,1955,2013,Y,,
HOW1071E,HOW1071,1,HOW,071,,,,,1,2,E,NA,NA,1961,1961,2013,Y,1961,2013,Y,,
HOW1071W,HOW1071,1,HOW,071,,,,,1,2,W,NA,NA,1879,1879,2013,Y,1879,2013,Y,,
