TreeID,CoreID,DBH..cm.,pith.offset,plot.id,Site,tree.number,species,canopy.class,live.dead,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie,outer.present
NWB323,NWB323B,17,0,NWB,Niwot,55,PICO,NA,LIVE,1,2,B,Y,1929,1929,1929,2012,NA,NA,NA,Y,NA,NA,2012
NWB324,NWB324A,12.3,5,NWB,Niwot,56,ABLA,NA,LIVE,1,2,A,N,1918,1923,1923,2012,NA,NA,NA,Y,NA,NA,2012
NWB324,NWB324B,12.3,5,NWB,Niwot,56,ABLA,NA,LIVE,1,2,B,N,1917,1922,1922,2012,NA,NA,NA,Y,NA,NA,2012
NWB331,NWB331A,10.5,1,NWB,Niwot,57,ABLA,NA,LIVE,1,2,A,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB331,NWB331B,10.5,1,NWB,Niwot,57,ABLA,NA,LIVE,1,2,B,N,1931,1932,1932,2012,NA,NA,NA,Y,NA,NA,2012
NWB332,NWB332A,11.2,0,NWB,Niwot,58,ABLA,NA,DEAD,1,2,A,Y,1918,1918,1918,2000,NA,NA,NA,Y,NA,NA,2000
NWB332,NWB332B,11.2,0,NWB,Niwot,58,ABLA,NA,DEAD,1,2,B,Y,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB333,NWB333A,13.5,9,NWB,Niwot,59,ABLA,NA,LIVE,1,2,A,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB333,NWB333B,13.5,9,NWB,Niwot,59,ABLA,NA,LIVE,1,2,B,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB334,NWB334A,6.8,0,NWB,Niwot,60,ABLA,NA,LIVE,1,2,A,Y,1935,1935,1935,2012,NA,NA,NA,Y,NA,NA,2012
NWB334,NWB334B,6.8,0,NWB,Niwot,60,ABLA,NA,LIVE,1,2,B,Y,1935,1935,1935,2012,NA,NA,NA,Y,NA,NA,2012
NWB341,NWB341A,14.5,NA,NWB,Niwot,61,PICO,NA,LIVE,1,2,A,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB341,NWB341B,14.5,NA,NWB,Niwot,61,PICO,NA,LIVE,1,2,B,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB342,NWB342A,17.5,2,NWB,Niwot,62,ABLA,NA,LIVE,1,2,A,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB342,NWB342B,17.5,2,NWB,Niwot,62,ABLA,NA,LIVE,1,2,B,N,1915,1917,1917,2012,NA,NA,NA,Y,NA,NA,2012
NWB343,NWB343A,8.9,5,NWB,Niwot,63,PICO,NA,LIVE,1,2,A,N,1934,1939,1939,2012,NA,NA,NA,Y,NA,NA,2012
NWB343,NWB343B,8.9,5,NWB,Niwot,63,PICO,NA,LIVE,1,2,B,N,1934,1939,1939,2012,NA,NA,NA,Y,NA,NA,2012
NWB344,NWB344A,13.8,1,NWB,Niwot,64,ABLA,NA,DEAD,1,2,A,N,1921,1922,1922,2009,NA,NA,NA,Y,NA,NA,2009
NWB344,NWB344B,13.8,1,NWB,Niwot,64,ABLA,NA,DEAD,1,2,B,N,1921,1922,1922,2004,NA,NA,NA,Y,NA,NA,2004
NWB351,NWB351A,11.7,1,NWB,Niwot,65,ABLA,NA,LIVE,1,2,A,N,1919,1920,1920,2012,NA,NA,NA,Y,NA,NA,2012
NWB351,NWB351B,11.7,1,NWB,Niwot,65,ABLA,NA,LIVE,1,2,B,N,1919,1920,1920,2012,NA,NA,NA,Y,NA,NA,2012
NWB352,NWB352A,15.4,0,NWB,Niwot,66,ABLA,NA,LIVE,1,2,A,Y,1913,1913,1913,2012,NA,NA,NA,Y,NA,NA,2012
NWB352,NWB352B,15.4,0,NWB,Niwot,66,ABLA,NA,LIVE,1,2,B,Y,1913,1913,1913,2012,NA,NA,NA,Y,NA,NA,2012
NWB353,NWB353A,8.7,0,NWB,Niwot,67,PIEN,NA,LIVE,1,2,A,Y,1827,1827,1827,2012,NA,NA,NA,Y,NA,NA,2012
