"TreeID","CoreID","dbh","plot.id","Site","tree.number","species","canopy.class","live.dead","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie","plot","X","Species","Canopy.Class","Live.Dead","DBH..cm."
"NWB251","NWB251A",19.2,"NWB","Niwot",41,"PICO",NA,"LIVE",1,2,"A","N",1763,1766,1766,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB251","NWB251B",19.2,"NWB","Niwot",41,"PICO",NA,"LIVE",1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB252","NWB252A",16.2,"NWB","Niwot",42,"PIEN",NA,"LIVE",1,2,"A","N",1922,1924,1924,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB252","NWB252B",16.2,"NWB","Niwot",42,"PIEN",NA,"LIVE",1,2,"B","N",1922,1924,1924,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB253","NWB253A",14.7,"NWB","Niwot",43,"ABLA",NA,"LIVE",1,2,"A","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB253","NWB253B",14.7,"NWB","Niwot",43,"ABLA",NA,"LIVE",1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB254","NWB254A",9.5,"NWB","Niwot",44,"ABLA",NA,"LIVE",1,2,"A","N",1921,1923,1923,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB254","NWB254B",9.5,"NWB","Niwot",44,"ABLA",NA,"LIVE",1,2,"B","N",1921,1923,1923,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB261","NWB261A",13.4,"NWB","Niwot",45,"ABLA",NA,"LIVE",1,2,"A","Y",1796,1796,1796,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB261","NWB261B",13.4,"NWB","Niwot",45,"ABLA",NA,"LIVE",1,2,"B","Y",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB262","NWB262A",7.6,"NWB","Niwot",46,"PIEN",NA,"LIVE",1,2,"A","Y",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB262","NWB262B",7.6,"NWB","Niwot",46,"PIEN",NA,"LIVE",1,2,"B","Y",1920,1920,1920,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB263","NWB263A",6,"NWB","Niwot",47,"PIEN",NA,"LIVE",1,2,"A","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB263","NWB263B",6,"NWB","Niwot",47,"PIEN",NA,"LIVE",1,2,"B","N",1928,1930,1930,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB264","NWB264A",8.7,"NWB","Niwot",48,"PIEN",NA,"LIVE",1,2,"A","Y",1925,1925,1925,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB264","NWB264B",8.7,"NWB","Niwot",48,"PIEN",NA,"LIVE",1,2,"B","Y",1925,1925,1925,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB311","NWB311A",17.6,"NWB","Niwot",49,"PIEN",NA,"LIVE",1,2,"A","Y",1817,1817,1817,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB311","NWB311B",17.6,"NWB","Niwot",49,"PIEN",NA,"LIVE",1,2,"B","Y",1817,1817,1817,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB312","NWB312A",27.6,"NWB","Niwot",50,"PICO",NA,"LIVE",1,2,"A","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB312","NWB312B",27.6,"NWB","Niwot",50,"PICO",NA,"LIVE",1,2,"B","N",1783,1790,1790,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB313","NWB313A",6.7,"NWB","Niwot",51,"ABLA",NA,"LIVE",1,2,"A","N",1861,1862,1862,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB313","NWB313B",6.7,"NWB","Niwot",51,"ABLA",NA,"LIVE",1,2,"B","N",1861,1862,1862,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB314","NWB314A",14.8,"NWB","Niwot",52,"PICO",NA,"LIVE",1,2,"A","Y",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB314","NWB314B",14.8,"NWB","Niwot",52,"PICO",NA,"LIVE",1,2,"B","Y",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB321","NWB321A",36.8,"NWB","Niwot",53,"PIEN",NA,"LIVE",1,2,"A","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB321","NWB321B",36.8,"NWB","Niwot",53,"PIEN",NA,"LIVE",1,2,"B","Y",1814,1814,1814,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB322","NWB322A",16.1,"NWB","Niwot",54,"PIEN",NA,"LIVE",1,2,"A","Y",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB322","NWB322B",16.1,"NWB","Niwot",54,"PIEN",NA,"LIVE",1,2,"B","Y",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB323","NWB323A",17,"NWB","Niwot",55,"PICO",NA,"LIVE",1,2,"A","Y",1929,1929,1929,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
