"TreeID","PlotID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","plot","Dated","Pith","Tree","Basal.Area..cm2.","basal.area..m2.ha.","Density..stems.ha.","notes","Distance","Azimuth"
"NWB352","NWB","Niwot","ABLA","C","LIVE",15.4,1,2,"B","Y",1913,NA,NA,NA,NA,NA,NA,NA
"NWB353","NWB","Niwot","PIEN","C","LIVE",8.7,1,2,"B","Y",1827,NA,NA,NA,NA,NA,NA,NA
"NWB354","NWB","Niwot","PICO","C","LIVE",26.5,1,2,"B","Y",NA,NA,NA,NA,NA,NA,NA,NA
"NWB361","NWB","Niwot","PICO","C","LIVE",29.3,1,2,"B","Y",NA,NA,NA,NA,NA,NA,NA,NA
"NWB362","NWB","Niwot","ABLA","C","LIVE",21,1,2,"B","Y",1831.5,NA,NA,NA,NA,NA,NA,NA
"NWB363","NWB","Niwot","ABLA","C","DEAD",19.6,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB364","NWB","Niwot","ABLA","C","LIVE",20.1,1,2,"B","Y",1853,NA,NA,NA,NA,NA,NA,NA
"NWB411","NWB","Niwot","ABLA","C","DEAD",20.5,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB412","NWB","Niwot","PIEN","C","LIVE",21.2,1,2,"B","Y",1904,NA,NA,NA,NA,NA,NA,NA
"NWB413","NWB","Niwot","ABLA","C","LIVE",12.3,1,2,"B","Y",1921,NA,NA,NA,NA,NA,NA,NA
"NWB414","NWB","Niwot","ABLA","C","LIVE",14.3,1,2,"B","Y",1915,NA,NA,NA,NA,NA,NA,NA
"NWB421","NWB","Niwot","ABLA","C","LIVE",7.1,1,2,"B","Y",1928,NA,NA,NA,NA,NA,NA,NA
"NWB422","NWB","Niwot","PIEN","C","LIVE",29,1,2,"B","Y",1799,NA,NA,NA,NA,NA,NA,NA
"NWB423","NWB","Niwot","PIEN","C","LIVE",17.7,1,2,"B","Y",1811,NA,NA,NA,NA,NA,NA,NA
"NWB424","NWB","Niwot","PICO","C","LIVE",36.8,1,2,"B","Y",1795.5,NA,NA,NA,NA,NA,NA,NA
"NWB431","NWB","Niwot","PIEN","C","LIVE",28.7,1,2,"B","Y",1758,NA,NA,NA,NA,NA,NA,NA
"NWB432","NWB","Niwot","ABLA","C","LIVE",25,1,2,"B","Y",1912.5,NA,NA,NA,NA,NA,NA,NA
"NWB433","NWB","Niwot","ABLA","C","LIVE",12.5,1,2,"B","Y",1921,NA,NA,NA,NA,NA,NA,NA
"NWB434","NWB","Niwot","ABLA","C","LIVE",8.7,1,2,"B","Y",1906,NA,NA,NA,NA,NA,NA,NA
"NWB441","NWB","Niwot","PICO","C","LIVE",36.1,1,2,"B","Y",1764.5,NA,NA,NA,NA,NA,NA,NA
"NWB442","NWB","Niwot","PIEN","C","DEAD",41.4,1,2,"B","Y",1921,NA,NA,NA,NA,NA,NA,NA
"NWB443","NWB","Niwot","PICO","C","LIVE",10,1,2,"B","Y",1946,NA,NA,NA,NA,NA,NA,NA
"NWB444","NWB","Niwot","ABLA","C","LIVE",8.7,1,2,"B","Y",1931,NA,NA,NA,NA,NA,NA,NA
"NWB451","NWB","Niwot","ABLA","C","LIVE",18.7,1,2,"B","Y",1907,NA,NA,NA,NA,NA,NA,NA
"NWB452","NWB","Niwot","ABLA","C","LIVE",18.7,1,2,"B","Y",1820,NA,NA,NA,NA,NA,NA,NA
"NWB453","NWB","Niwot","ABLA","C","LIVE",12.7,1,2,"B","Y",1920,NA,NA,NA,NA,NA,NA,NA
"NWB454","NWB","Niwot","ABLA","C","LIVE",15.6,1,2,"B","Y",1925,NA,NA,NA,NA,NA,NA,NA
"NWB461","NWB","Niwot","PICO","C","LIVE",27.6,1,2,"B","Y",1823,NA,NA,NA,NA,NA,NA,NA
"NWB462","NWB","Niwot","PIEN","C","LIVE",6.4,1,2,"B","Y",1924,NA,NA,NA,NA,NA,NA,NA
"NWB463","NWB","Niwot","ABLA","C","LIVE",9.5,1,2,"B","Y",1932,NA,NA,NA,NA,NA,NA,NA
"NWB464","NWB","Niwot","PICO","C","LIVE",25.1,1,2,"B","Y",1802,NA,NA,NA,NA,NA,NA,NA
"NWB511","NWB","Niwot","ABLA","C","LIVE",10.1,1,2,"B","Y",1928,NA,NA,NA,NA,NA,NA,NA
"NWB512","NWB","Niwot","PIEN","C","LIVE",24.5,1,2,"B","Y",1845,NA,NA,NA,NA,NA,NA,NA
