CoreID,Site,plot.id,tree.number,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie,species,canopy.class,live.dead,dbh
HOW1069W,HOW,1,69,1,2,W,NA,NA,1944,1944,2013,Y,1944,2013,Y,NA,NA,TSCA,C,LIVE,25.8
HOW1070E,HOW,1,70,1,2,E,NA,NA,1955,1955,2013,Y,1955,2013,Y,NA,NA,PCRU,D,LIVE,19.5
HOW1070W,HOW,1,70,1,2,W,NA,NA,1955,1955,2013,Y,1955,2013,Y,NA,NA,PCRU,D,LIVE,19.5
HOW1071W,HOW,1,71,1,2,W,NA,NA,1879,1879,2013,Y,1879,2013,Y,NA,NA,PCRU,C,LIVE,29.4
HOW1071E,HOW,1,71,1,2,E,NA,NA,1961,1961,2013,Y,1961,2013,Y,NA,NA,PCRU,C,LIVE,29.4
HOW1075W,HOW,1,75,1,2,W,NA,NA,1938,1938,2013,Y,1938,2013,Y,NA,NA,PCRU,I,LIVE,13.3
HOW1075E,HOW,1,75,1,2,E,NA,NA,1938,1938,2013,Y,1938,2013,Y,NA,NA,PCRU,I,LIVE,13.3
HOW1076N,HOW,1,76,1,2,N,NA,NA,1929,1929,2013,Y,1929,2013,Y,NA,NA,TSCA,S,LIVE,14.3
HOW1076S,HOW,1,76,1,2,S,NA,NA,1929,1929,2012,Y,1929,2012,Y,NA,NA,TSCA,S,LIVE,14.3
HOW1077N,HOW,1,77,1,2,N,NA,NA,1934,1934,2013,Y,1934,2013,Y,NA,NA,PIST,D,LIVE,43.3
HOW1077S,HOW,1,77,1,2,S,NA,NA,1934,1934,2013,Y,1934,2013,Y,NA,NA,PIST,D,LIVE,43.3
HOW1078E,HOW,1,78,1,2,E,NA,NA,1946,1946,2013,Y,1946,2013,Y,NA,NA,PIST,D,LIVE,35.9
HOW1078W,HOW,1,78,1,2,W,NA,NA,1935,1935,2013,Y,1935,2013,Y,NA,NA,PIST,D,LIVE,35.9
HOW1079N,HOW,1,79,1,2,N,NA,NA,1938,1938,2008,Y,1938,2008,Y,NA,NA,PCRU,C,LIVE,15.5
HOW1079S,HOW,1,79,1,2,S,NA,NA,1938,1938,2008,Y,1938,2008,Y,NA,NA,PCRU,C,LIVE,15.5
HOW1080B,HOW,1,80,1,2,B,NA,NA,1878,1878,2008,Y,1878,2008,Y,NA,NA,PCRU,C,LIVE,14.6
HOW1080W,HOW,1,80,1,2,W,NA,NA,1892,1892,1961,Y,1892,1961,Y,NA,NA,PCRU,C,LIVE,14.6
