,CoreID,Site,plot.id,tree.number,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie,species,canopy.class,live.dead,DBH..cm.
19,HOW1011S,HOW,1,11,1,2,S,N,NA,1942,1942,2013,Y,1942,2013,Y,NA,NA,TSCA,D,LIVE,42.5
20,HOW1012S,HOW,1,12,1,2,S,N,NA,1930,1930,2013,Y,1930,2013,Y,NA,NA,TSCA,D,LIVE,27.8
21,HOW1012N,HOW,1,12,1,2,N,N,NA,1930,1930,2013,Y,1930,2013,Y,NA,NA,TSCA,D,LIVE,27.8
22,HOW1013N,HOW,1,13,1,2,N,N,NA,1941,1941,2013,Y,1941,2013,Y,NA,NA,PCRU,C,LIVE,29
23,HOW1013S,HOW,1,13,1,2,S,N,NA,1941,1941,2013,Y,1941,2013,Y,NA,NA,PCRU,C,LIVE,29
24,HOW1014E,HOW,1,14,1,2,E,N,NA,1924,1924,2013,Y,1924,2013,Y,NA,NA,TSCA,C,LIVE,25.5
25,HOW1014W,HOW,1,14,1,2,W,N,NA,1925,1925,2013,Y,1925,2013,Y,NA,NA,TSCA,C,LIVE,25.5
26,HOW1020E,HOW,1,20,1,2,E,N,NA,1938,1938,2013,Y,1938,2013,Y,NA,NA,PCRU,C,LIVE,20.5
27,HOW1020W,HOW,1,20,1,2,W,N,NA,1938,1938,2013,Y,1938,2013,Y,NA,NA,PCRU,C,LIVE,20.5
28,HOW1021E,HOW,1,21,1,2,E,N,NA,1927,1927,2013,Y,1927,2013,Y,NA,NA,PCRU,C,LIVE,28.7
29,HOW1021W,HOW,1,21,1,2,W,N,NA,1927,1927,2013,Y,1927,2013,Y,NA,NA,PCRU,C,LIVE,28.7
30,HOW1022E,HOW,1,22,1,2,E,N,NA,1962,1962,2008,Y,1962,2008,Y,NA,NA,PCRU,NA,DEAD,17.1
31,HOW1022W,HOW,1,22,1,2,W,N,NA,1962,1962,2000,Y,1962,2000,Y,NA,NA,PCRU,NA,DEAD,17.1
32,HOW1023S,HOW,1,23,1,2,S,N,NA,1939,1939,2013,Y,1939,2013,Y,NA,NA,PCRU,C,LIVE,29.5
33,HOW1023N,HOW,1,23,1,2,N,N,NA,1939,1939,2013,Y,1939,2013,Y,NA,NA,PCRU,C,LIVE,29.5
34,HOW1024W,HOW,1,24,1,2,W,N,NA,1927,1927,2013,Y,1927,2013,Y,NA,NA,TSCA,I,LIVE,18.4
35,HOW1024E,HOW,1,24,1,2,E,N,NA,1927,1927,2013,Y,1927,2013,Y,NA,NA,TSCA,I,LIVE,18.4
36,HOW1025S,HOW,1,25,1,2,S,N,NA,1935,1935,2013,Y,1935,2013,Y,NA,NA,PCRU,C,LIVE,20.7
37,HOW1025N,HOW,1,25,1,2,N,N,NA,1935,1935,2013,Y,1935,2013,Y,NA,NA,PCRU,C,LIVE,20.7
38,HOW1026N,HOW,1,26,1,2,N,N,NA,1930,1930,2013,Y,1930,2013,Y,NA,NA,PCRU,C,LIVE,22.3
39,HOW1026S,HOW,1,26,1,2,S,N,NA,1930,1930,2013,Y,1930,2013,Y,NA,NA,PCRU,C,LIVE,22.3
40,HOW1027W,HOW,1,27,1,2,W,N,NA,1925,1925,2013,Y,1925,2013,Y,NA,NA,PCRU,C,LIVE,28.1
41,HOW1027E,HOW,1,27,1,2,E,N,NA,1925,1925,2013,Y,1925,2013,Y,NA,NA,PCRU,C,LIVE,28.1
42,HOW1028N,HOW,1,28,1,2,N,N,NA,1943,1943,2013,Y,1943,2013,Y,NA,NA,PCRU,C,LIVE,20.5
43,HOW1028S,HOW,1,28,1,2,S,N,NA,1943,1943,2013,Y,1943,2013,Y,NA,NA,PCRU,C,LIVE,20.5
44,HOW1031N,HOW,1,31,1,2,N,N,NA,1936,1936,2010,Y,1936,2010,Y,NA,NA,PCRU,C,LIVE,11.6
45,HOW1031S,HOW,1,31,1,2,S,N,NA,1936,1936,2013,Y,1936,2013,Y,NA,NA,PCRU,C,LIVE,11.6
46,HOW1032E,HOW,1,32,1,2,E,N,NA,1937,1937,2007,Y,1937,2007,Y,NA,NA,PCRU,I,LIVE,10.1
47,HOW1032W,HOW,1,32,1,2,W,N,NA,1937,1937,2008,Y,1937,2008,Y,NA,NA,PCRU,I,LIVE,10.1
48,HOW1033S,HOW,1,33,1,2,S,N,NA,1929,1929,2013,Y,1929,2013,Y,NA,NA,PCRU,C,LIVE,23.2
49,HOW1033N,HOW,1,33,1,2,N,N,NA,1929,1929,2013,Y,1929,2013,Y,NA,NA,PCRU,C,LIVE,23.2
50,HOW1034S,HOW,1,34,1,2,S,N,NA,1940,1940,2013,Y,1940,2013,Y,NA,NA,PCRU,I,LIVE,15.7
51,HOW1035E,HOW,1,35,1,2,E,N,NA,1930,1930,2013,Y,1930,2013,Y,NA,NA,PCRU,C,LIVE,25.5
52,HOW1035W,HOW,1,35,1,2,W,N,NA,1930,1930,2013,Y,1930,2013,Y,NA,NA,PCRU,C,LIVE,25.5
53,HOW1036S,HOW,1,36,1,2,S,N,NA,1909,1909,2013,Y,1909,2013,Y,NA,NA,PCRU,I,LIVE,26.9
54,HOW1036N,HOW,1,36,1,2,N,N,NA,1911,1911,2013,Y,1911,2013,Y,NA,NA,PCRU,I,LIVE,26.9
55,HOW1037E,HOW,1,37,1,2,E,N,NA,1924,1924,2013,Y,1924,2013,Y,NA,NA,TSCA,I,LIVE,33.7
56,HOW1037S,HOW,1,37,1,2,S,N,NA,1921,1921,1996,Y,1921,1996,Y,NA,NA,TSCA,I,LIVE,33.7
57,HOW1038E,HOW,1,38,1,2,E,N,NA,1939,1939,2013,Y,1939,2013,Y,NA,NA,PCRU,C,LIVE,19.4
58,HOW1038W,HOW,1,38,1,2,W,N,NA,1939,1939,2013,Y,1939,2013,Y,NA,NA,PCRU,C,LIVE,19.4
59,HOW1039E,HOW,1,39,1,2,E,N,NA,1894,1894,2013,Y,1894,2013,Y,NA,NA,PCRU,C,LIVE,33
60,HOW1039W,HOW,1,39,1,2,W,N,NA,1894,1894,2013,Y,1894,2013,Y,NA,NA,PCRU,C,LIVE,33
61,HOW1040W,HOW,1,40,1,2,W,N,NA,1929,1929,2013,Y,1929,2013,Y,NA,NA,THOC,I,LIVE,15.6
62,HOW1040E,HOW,1,40,1,2,E,N,NA,1929,1929,2013,Y,1929,2013,Y,NA,NA,THOC,I,LIVE,15.6
63,HOW1041E,HOW,1,41,1,2,E,N,NA,1932,1932,2013,Y,1932,2013,Y,NA,NA,THOC,S,LIVE,12.4
64,HOW1041W,HOW,1,41,1,2,W,N,NA,1932,1932,2013,Y,1932,2013,Y,NA,NA,THOC,S,LIVE,12.4
65,HOW1042N,HOW,1,42,1,2,N,N,NA,1948,1948,2013,Y,1948,2013,Y,NA,NA,ACRU,S,LIVE,12.1
66,HOW1042S,HOW,1,42,1,2,S,N,NA,1948,1948,2013,Y,1948,2013,Y,NA,NA,ACRU,S,LIVE,12.1
67,HOW1043E,HOW,1,43,1,2,E,N,NA,1929,1929,2013,Y,1929,2013,Y,NA,NA,PCRU,C,LIVE,23.5
68,HOW1043W,HOW,1,43,1,2,W,N,NA,1930,1930,2013,Y,1930,2013,Y,NA,NA,PCRU,C,LIVE,23.5
69,HOW1044N,HOW,1,44,1,2,N,N,NA,1887,1887,2013,Y,1887,2013,Y,NA,NA,PCRU,C,LIVE,20
70,HOW1044S,HOW,1,44,1,2,S,N,NA,1887,1887,2013,Y,1887,2013,Y,NA,NA,PCRU,C,LIVE,20
71,HOW1045E,HOW,1,45,1,2,E,N,NA,1903,1903,2013,Y,1903,2013,Y,NA,NA,PCRU,C,LIVE,20.9
72,HOW1045W,HOW,1,45,1,2,W,N,NA,1903,1903,2013,Y,1903,2013,Y,NA,NA,PCRU,C,LIVE,20.9
73,HOW1046W,HOW,1,46,1,2,W,N,NA,1874,1874,2011,Y,1874,2011,Y,NA,NA,PCRU,C,LIVE,23
74,HOW1046E,HOW,1,46,1,2,E,N,NA,1874,1874,2009,Y,1874,2009,Y,NA,NA,PCRU,C,LIVE,23
75,HOW1047W,HOW,1,47,1,2,W,N,NA,1934,1934,2013,Y,1934,2013,Y,NA,NA,PCRU,C,LIVE,20.1
76,HOW1047E,HOW,1,47,1,2,E,N,NA,1934,1934,2013,Y,1934,2013,Y,NA,NA,PCRU,C,LIVE,20.1
77,HOW1048N,HOW,1,48,1,2,N,N,NA,1933,1933,2013,Y,1933,2013,Y,NA,NA,PCRU,C,LIVE,24.8
78,HOW1048S,HOW,1,48,1,2,S,N,NA,1933,1933,2013,Y,1933,2013,Y,NA,NA,PCRU,C,LIVE,24.8
79,HOW1049E,HOW,1,49,1,2,E,N,NA,1862,1862,2013,Y,1862,2013,Y,NA,NA,PCRU,C,LIVE,37.4
80,HOW1049W,HOW,1,49,1,2,W,N,NA,1875,1875,2013,Y,1875,2013,Y,NA,NA,PCRU,C,LIVE,37.4
81,HOW1050N,HOW,1,50,1,2,N,N,NA,1869,1869,2009,Y,1869,2009,Y,NA,NA,THOC,NA,DEAD,19.1
82,HOW1051E,HOW,1,51,1,2,E,N,NA,1891,1891,2013,Y,1891,2013,Y,NA,NA,THOC,I,LIVE,22.7
83,HOW1051W,HOW,1,51,1,2,W,N,NA,1876,1876,2013,Y,1876,2013,Y,NA,NA,THOC,I,LIVE,22.7
84,HOW1052N,HOW,1,52,1,2,N,N,NA,1875,1875,2013,Y,1875,2013,Y,NA,NA,THOC,C,LIVE,22.7
85,HOW1052S,HOW,1,52,1,2,S,N,NA,1875,1875,2013,Y,1875,2013,Y,NA,NA,THOC,C,LIVE,22.7
86,HOW1053E,HOW,1,53,1,2,E,N,NA,1863,1863,2013,Y,1863,2013,Y,NA,NA,THOC,C,LIVE,23.4
87,HOW1053W,HOW,1,53,1,2,W,N,NA,1864,1864,2013,Y,1864,2013,Y,NA,NA,THOC,C,LIVE,23.4
88,HOW1054W,HOW,1,54,1,2,W,N,NA,1883,1883,2013,Y,1883,2013,Y,NA,NA,PCRU,C,LIVE,22.6
89,HOW1054E,HOW,1,54,1,2,E,N,NA,1884,1884,2013,Y,1884,2013,Y,NA,NA,PCRU,C,LIVE,22.6
90,HOW1055N,HOW,1,55,1,2,N,N,NA,1866,1866,2013,Y,1866,2013,Y,NA,NA,PCRU,C,LIVE,25.8
91,HOW1055S,HOW,1,55,1,2,S,N,NA,1867,1867,2013,Y,1867,2013,Y,NA,NA,PCRU,C,LIVE,25.8
92,HOW1061E,HOW,1,61,1,2,E,N,NA,1911,1911,2013,Y,1911,2013,Y,NA,NA,PCRU,D,LIVE,24.8
93,HOW1061W,HOW,1,61,1,2,W,N,NA,1911,1911,2013,Y,1911,2013,Y,NA,NA,PCRU,D,LIVE,24.8
94,HOW1062E,HOW,1,62,1,2,E,N,NA,1953,1953,2013,Y,1953,2013,Y,NA,NA,TSCA,I,LIVE,24.5
95,HOW1062W,HOW,1,62,1,2,W,N,NA,1953,1953,2013,Y,1953,2013,Y,NA,NA,TSCA,I,LIVE,24.5
96,HOW1063E,HOW,1,63,1,2,E,N,NA,1970,1970,2013,Y,1970,2013,Y,NA,NA,TSCA,NA,DEAD,28.5
97,HOW1064E,HOW,1,64,1,2,E,N,NA,1942,1942,2013,Y,1942,2013,Y,NA,NA,PCRU,C,LIVE,23.1
98,HOW1064W,HOW,1,64,1,2,W,N,NA,1943,1943,2013,Y,1943,2013,Y,NA,NA,PCRU,C,LIVE,23.1
99,HOW1065E,HOW,1,65,1,2,E,N,NA,1884,1884,2013,Y,1884,2013,Y,NA,NA,THOC,I,LIVE,28.2
100,HOW1065W,HOW,1,65,1,2,W,N,NA,1880,1880,2013,Y,1880,2013,Y,NA,NA,THOC,I,LIVE,28.2
101,HOW1066S,HOW,1,66,1,2,S,N,NA,1871,1871,2013,Y,1871,2013,Y,NA,NA,PCRU,C,LIVE,26.4
102,HOW1066N,HOW,1,66,1,2,N,N,NA,1871,1871,2013,Y,1871,2013,Y,NA,NA,PCRU,C,LIVE,26.4
103,HOW1067E,HOW,1,67,1,2,E,N,NA,1871,1871,2013,Y,1871,2013,Y,NA,NA,PCRU,I,LIVE,14.8
104,HOW1067W,HOW,1,67,1,2,W,N,NA,1871,1871,2013,Y,1871,2013,Y,NA,NA,PCRU,I,LIVE,14.8
105,HOW1068N,HOW,1,68,1,2,N,N,NA,1890,1890,2013,Y,1890,2013,Y,NA,NA,PCRU,C,LIVE,19.1
106,HOW1068S,HOW,1,68,1,2,S,N,NA,1890,1890,2013,Y,1890,2013,Y,NA,NA,PCRU,C,LIVE,19.1
107,HOW1069E,HOW,1,69,1,2,E,N,NA,1925,1925,2013,Y,1925,2013,Y,NA,NA,TSCA,C,LIVE,25.8
108,HOW1069W,HOW,1,69,1,2,W,N,NA,1944,1944,2013,Y,1944,2013,Y,NA,NA,TSCA,C,LIVE,25.8
109,HOW1070E,HOW,1,70,1,2,E,N,NA,1955,1955,2013,Y,1955,2013,Y,NA,NA,PCRU,D,LIVE,19.5
110,HOW1070W,HOW,1,70,1,2,W,N,NA,1955,1955,2013,Y,1955,2013,Y,NA,NA,PCRU,D,LIVE,19.5
111,HOW1071W,HOW,1,71,1,2,W,N,NA,1879,1879,2013,Y,1879,2013,Y,NA,NA,PCRU,C,LIVE,29.4
112,HOW1071E,HOW,1,71,1,2,E,N,NA,1961,1961,2013,Y,1961,2013,Y,NA,NA,PCRU,C,LIVE,29.4
113,HOW1075W,HOW,1,75,1,2,W,N,NA,1938,1938,2013,Y,1938,2013,Y,NA,NA,PCRU,I,LIVE,13.3
114,HOW1075E,HOW,1,75,1,2,E,N,NA,1938,1938,2013,Y,1938,2013,Y,NA,NA,PCRU,I,LIVE,13.3
115,HOW1076N,HOW,1,76,1,2,N,N,NA,1929,1929,2013,Y,1929,2013,Y,NA,NA,TSCA,S,LIVE,14.3
116,HOW1076S,HOW,1,76,1,2,S,N,NA,1929,1929,2012,Y,1929,2012,Y,NA,NA,TSCA,S,LIVE,14.3
117,HOW1077N,HOW,1,77,1,2,N,N,NA,1934,1934,2013,Y,1934,2013,Y,NA,NA,PIST,D,LIVE,43.3
118,HOW1077S,HOW,1,77,1,2,S,N,NA,1934,1934,2013,Y,1934,2013,Y,NA,NA,PIST,D,LIVE,43.3
119,HOW1078E,HOW,1,78,1,2,E,N,NA,1946,1946,2013,Y,1946,2013,Y,NA,NA,PIST,D,LIVE,35.9
120,HOW1078W,HOW,1,78,1,2,W,N,NA,1935,1935,2013,Y,1935,2013,Y,NA,NA,PIST,D,LIVE,35.9
121,HOW1079N,HOW,1,79,1,2,N,N,NA,1938,1938,2008,Y,1938,2008,Y,NA,NA,PCRU,C,LIVE,15.5
122,HOW1079S,HOW,1,79,1,2,S,N,NA,1938,1938,2008,Y,1938,2008,Y,NA,NA,PCRU,C,LIVE,15.5
123,HOW1080B,HOW,1,80,1,2,B,N,NA,1878,1878,2008,Y,1878,2008,Y,NA,NA,PCRU,C,LIVE,14.6
124,HOW1080W,HOW,1,80,1,2,W,N,NA,1892,1892,1961,Y,1892,1961,Y,NA,NA,PCRU,C,LIVE,14.6
125,HOW1080E,HOW,1,80,1,2,E,N,NA,1922,1922,2008,Y,1922,2008,Y,NA,NA,PCRU,C,LIVE,14.6
126,HOW1081E,HOW,1,81,1,2,E,N,NA,1901,1901,2013,Y,1901,2013,Y,NA,NA,PCRU,C,LIVE,24.1
127,HOW1081W,HOW,1,81,1,2,W,N,NA,1901,1901,2013,Y,1901,2013,Y,NA,NA,PCRU,C,LIVE,24.1
128,HOW1082W,HOW,1,82,1,2,W,N,NA,1871,1871,2013,Y,1871,2013,Y,NA,NA,TSCA,C,LIVE,40.5
129,HOW1082E,HOW,1,82,1,2,E,N,NA,1871,1871,2013,Y,1871,2013,Y,NA,NA,TSCA,C,LIVE,40.5
130,HOW1083N,HOW,1,83,1,2,N,N,NA,1934,1934,2007,Y,1934,2007,Y,NA,NA,PCRU,I,LIVE,12.7
131,HOW1083S,HOW,1,83,1,2,S,N,NA,1934,1934,2003,Y,1934,2003,Y,NA,NA,PCRU,I,LIVE,12.7
132,HOW1084N,HOW,1,84,1,2,N,N,NA,1932,1932,2004,Y,1932,2004,Y,NA,NA,PCRU,I,LIVE,15
133,HOW1084S,HOW,1,84,1,2,S,N,NA,1932,1932,2000,Y,1932,2000,Y,NA,NA,PCRU,I,LIVE,15
134,HOW1085E,HOW,1,85,1,2,E,N,NA,1938,1938,2011,Y,1938,2011,Y,NA,NA,PCRU,I,LIVE,12.3
135,HOW1085W,HOW,1,85,1,2,W,N,NA,1938,1938,2009,Y,1938,2009,Y,NA,NA,PCRU,I,LIVE,12.3
136,HOW1086E,HOW,1,86,1,2,E,N,NA,1942,1942,2013,Y,1942,2013,Y,NA,NA,PCRU,C,LIVE,19.3
137,HOW1086W,HOW,1,86,1,2,W,N,NA,1942,1942,2013,Y,1942,2013,Y,NA,NA,PCRU,C,LIVE,19.3
138,HOW1087W,HOW,1,87,1,2,W,N,NA,1884,1884,2013,Y,1884,2013,Y,NA,NA,PCRU,C,LIVE,27
139,HOW1087E,HOW,1,87,1,2,E,N,NA,1873,1873,2013,Y,1873,2013,Y,NA,NA,PCRU,C,LIVE,27
140,HOW1088E,HOW,1,88,1,2,E,N,NA,1939,1939,2002,Y,1939,2002,Y,NA,NA,PCRU,I,LIVE,10.5
141,HOW1089S,HOW,1,89,1,2,S,N,NA,1927,1927,2013,Y,1927,2013,Y,NA,NA,THOC,I,LIVE,25.1
142,HOW1089N,HOW,1,89,1,2,N,N,NA,1900,1900,2013,Y,1900,2013,Y,NA,NA,THOC,I,LIVE,25.1
143,HOW1090E,HOW,1,90,1,2,E,N,NA,1925,1925,2013,Y,1925,2013,Y,NA,NA,ACRU,I,LIVE,17.7
144,HOW1090W,HOW,1,90,1,2,W,N,NA,1925,1925,2013,Y,1925,2013,Y,NA,NA,ACRU,I,LIVE,17.7
145,HOW1091N,HOW,1,91,1,2,N,N,NA,1930,1930,2000,Y,1930,2000,Y,NA,NA,PCRU,I,LIVE,13.7
146,HOW1091S,HOW,1,91,1,2,S,N,NA,1930,1930,2006,Y,1930,2006,Y,NA,NA,PCRU,I,LIVE,13.7
147,HOW1092E,HOW,1,92,1,2,E,N,NA,1937,1937,2011,Y,1937,2011,Y,NA,NA,THOC,S,LIVE,11.6
148,HOW1092W,HOW,1,92,1,2,W,N,NA,1946,1946,2009,Y,1946,2009,Y,NA,NA,THOC,S,LIVE,11.6
149,HOW1093E,HOW,1,93,1,2,E,N,NA,1937,1937,2013,Y,1937,2013,Y,NA,NA,PCRU,C,LIVE,32
150,HOW1093W,HOW,1,93,1,2,W,N,NA,1937,1937,2013,Y,1937,2013,Y,NA,NA,PCRU,C,LIVE,32
151,HOW1094S,HOW,1,94,1,2,S,N,NA,1893,1893,2013,Y,1893,2013,Y,NA,NA,TSCA,I,LIVE,37.6
152,HOW1094W,HOW,1,94,1,2,W,N,NA,1855,1855,2013,Y,1855,2013,Y,NA,NA,TSCA,I,LIVE,37.6
153,HOW1095W,HOW,1,95,1,2,W,N,NA,1940,1940,2013,Y,1940,2013,Y,NA,NA,PCRU,C,LIVE,25.4
154,HOW1095E,HOW,1,95,1,2,E,N,NA,1940,1940,2012,Y,1940,2012,Y,NA,NA,PCRU,C,LIVE,25.4
155,HOW1096S,HOW,1,96,1,2,S,N,NA,1923,1923,2013,Y,1923,2013,Y,NA,NA,PCRU,C,LIVE,20.9
156,HOW1096N,HOW,1,96,1,2,N,N,NA,1923,1923,2013,Y,1923,2013,Y,NA,NA,PCRU,C,LIVE,20.9
157,HOW1097S,HOW,1,97,1,2,S,N,NA,1933,1933,2013,Y,1933,2013,Y,NA,NA,PCRU,C,LIVE,20.9
158,HOW1097N,HOW,1,97,1,2,N,N,NA,1933,1933,2013,Y,1933,2013,Y,NA,NA,PCRU,C,LIVE,20.9
159,HOW1098E,HOW,1,98,1,2,E,N,NA,1868,1868,2007,Y,1868,2007,Y,NA,NA,THOC,I,LIVE,21.2
160,HOW1098W,HOW,1,98,1,2,W,N,NA,1868,1868,1996,Y,1868,1996,Y,NA,NA,THOC,I,LIVE,21.2
161,HOW1099S,HOW,1,99,1,2,S,N,NA,1872,1872,2013,Y,1872,2013,Y,NA,NA,THOC,I,LIVE,26.2
162,HOW1099N,HOW,1,99,1,2,N,N,NA,1872,1872,2013,Y,1872,2013,Y,NA,NA,THOC,I,LIVE,26.2
163,HOW1100E,HOW,1,100,1,2,E,N,NA,1900,1900,2013,Y,1900,2013,Y,NA,NA,PCRU,C,LIVE,32.9
164,HOW1100W,HOW,1,100,1,2,W,N,NA,1900,1900,2013,Y,1900,2013,Y,NA,NA,PCRU,C,LIVE,32.9
165,HOW1105N,HOW,1,105,1,2,N,N,NA,1944,1944,2013,Y,1944,2013,Y,NA,NA,ACRU,I,LIVE,16.4
166,HOW1105W,HOW,1,105,1,2,W,N,NA,1933,1933,2013,Y,1933,2013,Y,NA,NA,ACRU,I,LIVE,16.4
167,HOW1106N,HOW,1,106,1,2,N,N,NA,1934,1934,2013,Y,1934,2013,Y,NA,NA,PIST,D,LIVE,48.9
168,HOW1106S,HOW,1,106,1,2,S,N,NA,1931,1931,2013,Y,1931,2013,Y,NA,NA,PIST,D,LIVE,48.9
169,HOW1107S,HOW,1,107,1,2,S,N,NA,1933,1933,2013,Y,1933,2013,Y,NA,NA,PCRU,C,LIVE,21.7
170,HOW1107N,HOW,1,107,1,2,N,N,NA,1934,1934,2013,Y,1934,2013,Y,NA,NA,PCRU,C,LIVE,21.7
171,HOW1110N,HOW,1,110,1,2,N,N,NA,1940,1940,2013,Y,1940,2013,Y,NA,NA,PCRU,I,LIVE,17
172,HOW1110S,HOW,1,110,1,2,S,N,NA,1942,1942,2013,Y,1942,2013,Y,NA,NA,PCRU,I,LIVE,17
173,HOW1111E,HOW,1,111,1,2,E,N,NA,1941,1941,2012,Y,1941,2012,Y,NA,NA,PCRU,C,LIVE,15.5
174,HOW1111W,HOW,1,111,1,2,W,N,NA,1941,1941,2012,Y,1941,2012,Y,NA,NA,PCRU,C,LIVE,15.5
175,HOW1112E,HOW,1,112,1,2,E,N,NA,1930,1930,2013,Y,1930,2013,Y,NA,NA,PIST,D,LIVE,48.4
176,HOW1112W,HOW,1,112,1,2,W,N,NA,1931,1931,2013,Y,1931,2013,Y,NA,NA,PIST,D,LIVE,48.4
177,HOW1114N,HOW,1,114,1,2,N,N,NA,1936,1936,2004,Y,1936,2004,Y,NA,NA,PCRU,C,LIVE,13.5
178,HOW1114S,HOW,1,114,1,2,S,N,NA,1937,1937,2007,Y,1937,2007,Y,NA,NA,PCRU,C,LIVE,13.5
179,HOW1115N,HOW,1,115,1,2,N,N,NA,1946,1946,2013,Y,1946,2013,Y,NA,NA,ABBA,NA,DEAD,13.6
180,HOW1115S,HOW,1,115,1,2,S,N,NA,1946,1946,1991,Y,1946,1991,Y,NA,NA,ABBA,NA,DEAD,13.6
181,HOW1116E,HOW,1,116,1,2,E,N,NA,1927,1927,2013,Y,1927,2013,Y,NA,NA,ACRU,I,LIVE,18.2
182,HOW1116W,HOW,1,116,1,2,W,N,NA,1927,1927,2013,Y,1927,2013,Y,NA,NA,ACRU,I,LIVE,18.2
183,HOW1117W,HOW,1,117,1,2,W,N,NA,1928,1928,2013,Y,1928,2013,Y,NA,NA,ACRU,C,LIVE,14.5
184,HOW1117E,HOW,1,117,1,2,E,N,NA,1927,1927,2013,Y,1927,2013,Y,NA,NA,ACRU,C,LIVE,14.5
185,HOW1118N,HOW,1,118,1,2,N,N,NA,1936,1936,2013,Y,1936,2013,Y,NA,NA,PCRU,C,LIVE,24.6
186,HOW1118S,HOW,1,118,1,2,S,N,NA,1936,1936,2013,Y,1936,2013,Y,NA,NA,PCRU,C,LIVE,24.6
187,HOW1119S,HOW,1,119,1,2,S,N,NA,1936,1936,2005,Y,1936,2005,Y,NA,NA,PCRU,I,LIVE,17.4
188,HOW1119N,HOW,1,119,1,2,N,N,NA,1936,1936,2007,Y,1936,2007,Y,NA,NA,PCRU,I,LIVE,17.4
189,HOW1120N,HOW,1,120,1,2,N,N,NA,1843,1843,2013,Y,1843,2013,Y,NA,NA,PCRU,C,LIVE,28.5
190,HOW1120S,HOW,1,120,1,2,S,N,NA,1843,1843,2013,Y,1843,2013,Y,NA,NA,PCRU,C,LIVE,28.5
191,HOW1121N,HOW,1,121,1,2,N,N,NA,1920,1920,2013,Y,1920,2013,Y,NA,NA,THOC,C,LIVE,16.6
192,HOW1121S,HOW,1,121,1,2,S,N,NA,1906,1906,2013,Y,1906,2013,Y,NA,NA,THOC,C,LIVE,16.6
193,HOW1122S,HOW,1,122,1,2,S,N,NA,1909,1909,2013,Y,1909,2013,Y,NA,NA,PCRU,C,LIVE,23.4
194,HOW1122N,HOW,1,122,1,2,N,N,NA,1909,1909,2013,Y,1909,2013,Y,NA,NA,PCRU,C,LIVE,23.4
195,HOW1123S,HOW,1,123,1,2,S,N,NA,1924,1924,2013,Y,1924,2013,Y,NA,NA,PCRU,C,LIVE,23.9
