"TreeID","PlotID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores"
"NWC463","NWC","Niwot","ABLA","C","LIVE",8.5,1,2
"NWC464","NWC","Niwot","ABLA","C","LIVE",15,1,2
"NWC511","NWC","Niwot","PIEN","C","LIVE",11.1,1,2
"NWC512","NWC","Niwot","PIEN","C","LIVE",15.6,1,2
"NWC513","NWC","Niwot","PICO","C","LIVE",7.8,1,2
"NWC514","NWC","Niwot","ABLA","C","LIVE",13.1,1,2
"NWC521","NWC","Niwot","PIEN","C","LIVE",32.9,1,2
"NWC522","NWC","Niwot","ABLA","C","LIVE",5.8,1,2
"NWC523","NWC","Niwot","PICO","C","LIVE",20.6,1,2
"NWC524","NWC","Niwot","PIEN","C","LIVE",18.3,1,2
"NWC531","NWC","Niwot","ABLA","C","LIVE",6.1,1,2
"NWC532","NWC","Niwot","PIEN","C","LIVE",28.7,1,2
"NWC533","NWC","Niwot","PIEN","C","LIVE",6.4,1,2
"NWC534","NWC","Niwot","PICO","C","LIVE",18.1,1,2
"NWC541","NWC","Niwot","ABLA","C","LIVE",8.3,1,2
"NWC542","NWC","Niwot","ABLA","C","LIVE",7.9,1,2
"NWC543","NWC","Niwot","ABLA","C","LIVE",8.4,1,2
"NWC544","NWC","Niwot","ABLA","C","LIVE",11.5,1,2
"NWC551","NWC","Niwot","ABLA","C","LIVE",8.2,1,2
"NWC552","NWC","Niwot","PICO","C","LIVE",14.7,1,2
"NWC553","NWC","Niwot","ABLA","C","LIVE",11.3,1,2
"NWC554","NWC","Niwot","ABLA","C","LIVE",17.2,1,2
"NWC561","NWC","Niwot","ABLA","C","LIVE",14.5,1,2
"NWC562","NWC","Niwot","ABLA","C","LIVE",6.2,1,2
"NWC563","NWC","Niwot","ABLA","C","LIVE",6.3,1,2
"NWC564","NWC","Niwot","ABLA","C","LIVE",8.3,1,2
"NWC611","NWC","Niwot","ABLA","C","DEAD",8.9,1,2
"NWC612","NWC","Niwot","ABLA","C","LIVE",7.7,1,2
"NWC613","NWC","Niwot","PICO","C","LIVE",27.2,1,2
"NWC614","NWC","Niwot","PIEN","C","LIVE",17.5,1,2
"NWC621","NWC","Niwot","PIEN","C","LIVE",25.1,1,2
"NWC622","NWC","Niwot","ABLA","C","LIVE",16.7,1,2
"NWC623","NWC","Niwot","ABLA","C","LIVE",16.3,1,2
"NWC624","NWC","Niwot","PIEN","C","LIVE",23.2,1,2
"NWC631","NWC","Niwot","PICO","C","DEAD",12.5,1,2
"NWC632","NWC","Niwot","PIEN","C","LIVE",16.5,1,2
"NWC633","NWC","Niwot","PICO","C","LIVE",25.1,1,2
"NWC634","NWC","Niwot","PICO","C","LIVE",16.2,1,2
"NWC641","NWC","Niwot","ABLA","C","LIVE",9.7,1,2
"NWC642","NWC","Niwot","ABLA","C","LIVE",9.2,1,2
"NWC643","NWC","Niwot","PIEN","C","LIVE",12.5,1,2
"NWC644","NWC","Niwot","PIEN","C","LIVE",10.7,1,2
"NWC651","NWC","Niwot","ABLA","C","LIVE",8.2,1,2
"NWC652","NWC","Niwot","ABLA","C","LIVE",19.2,1,2
"NWC653","NWC","Niwot","PIEN","C","LIVE",10.8,1,2
"NWC654","NWC","Niwot","ABLA","C","LIVE",10.7,1,2
"NWC661","NWC","Niwot","ABLA","C","LIVE",12.3,1,2
"NWC662","NWC","Niwot","ABLA","C","LIVE",8.3,1,2
"NWC663","NWC","Niwot","ABLA","C","LIVE",12.6,1,2
"NWC664","NWC","Niwot","ABLA","C","LIVE",14.8,1,2
