"CoreID","TreeID","plot.id","Site","tree.number","Species","Canopy.Class","Live.Dead","DBH..cm.","stems","total.cores","core.id","pith.preset","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie","plot"
"ACA031A","ACA031","ACA","Austin Cary FL",31,"PIPA","C","LIVE",29.5,1,2,"A","Y",1952,1952,1953,2012,"Y",NA,NA,"N",NA,"Y","A"
"ACA031B","ACA031","ACA","Austin Cary FL",31,"PIPA","C","LIVE",29.5,1,2,"B","N",1943,1946,1947,2003,"Y",1928,2003,"Y","BREAK",NA,"A"
"ACA032A","ACA032","ACA","Austin Cary FL",32,"PIPA","C","LIVE",21.2,1,2,"A","N",1925,1927,1928,2010,"Y",1928,2010,"Y",NA,"Y","A"
"ACA032B","ACA032","ACA","Austin Cary FL",32,"PIPA","C","LIVE",21.2,1,2,"B","N",1927,1927,1928,2014,"Y",1928,2014,"Y",NA,NA,"A"
"ACB001A","ACB001","ACB","Austin Cary FL",1,"PIPA","SNAG","DEAD",26.8,1,2,"A","N",NA,1938,1939,2010,"Y",NA,NA,"N","ROTTEN",NA,"B"
"ACB001B","ACB001","ACB","Austin Cary FL",1,"PIPA","SNAG","DEAD",26.8,1,2,"B","N",1936,1937,1938,2008,"Y",1938,2008,"Y",NA,"Y","B"
"ACB002A","ACB002","ACB","Austin Cary FL",2,"PIPA","C","LIVE",28.5,1,2,"A","N",1934,1943,1944,2000,"Y",1944,2000,"Y","CUT, DIDN'T MEASURE OUTSIDE.",NA,"B"
"ACB002B","ACB002","ACB","Austin Cary FL",2,"PIPA","C","LIVE",28.5,1,2,"B","N",1935,1938,1939,2000,"Y",1939,2000,"Y","CUT, DIDN'T MEASURE OUTSIDE.",NA,"B"
"ACB003A","ACB003","ACB","Austin Cary FL",3,"PIPA","C","LIVE",33.2,1,2,"A","Y",1940,1940,1941,2014,"Y",1941,2014,"Y",NA,NA,"B"
"ACB003B","ACB003","ACB","Austin Cary FL",3,"PIPA","C","LIVE",33.2,1,2,"B","N",1940,1940,1941,2014,"Y",1941,2014,"Y",NA,NA,"B"
"ACB004A","ACB004","ACB","Austin Cary FL",4,"PIPA","C","LIVE",30.5,1,2,"A","N",1950,1953,1954,2014,"Y",NA,NA,"N",NA,NA,"B"
"ACB004B","ACB004","ACB","Austin Cary FL",4,"PIPA","C","LIVE",30.5,1,2,"B","Y",1949,1949,1950,2014,"Y",NA,NA,"N",NA,NA,"B"
"ACB005A","ACB005","ACB","Austin Cary FL",5,"PIPA","C","LIVE",33.5,1,2,"A","N",1945,1950,1951,2014,"Y",NA,NA,"N",NA,NA,"B"
"ACB005B","ACB005","ACB","Austin Cary FL",5,"PIPA","C","LIVE",33.5,1,2,"B","N",1944,1954,1955,2014,"Y",NA,NA,"N",NA,NA,"B"
"ACB006A","ACB006","ACB","Austin Cary FL",6,"PIPA","C","LIVE",22.9,1,2,"A","N",1921,1923,1924,2014,"Y",1924,2014,"Y",NA,NA,"B"
"ACB006B","ACB006","ACB","Austin Cary FL",6,"PIPA","C","LIVE",22.9,1,2,"B","N",1920,1923,1924,2014,"Y",1924,2014,"Y",NA,NA,"B"
