"TreeID","PlotID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","plot","Dated","Pith"
"NWB522","NWB","Niwot","PICO","C","LIVE",30.7,1,2,"B","Y",1813.5
"NWB523","NWB","Niwot","ABLA","C","LIVE",13.5,1,2,"B","Y",1862
"NWB524","NWB","Niwot","PIEN","C","LIVE",20.1,1,2,"B","Y",1827
"NWB531","NWB","Niwot","ABLA","C","LIVE",6.3,1,2,"B","Y",1924
"NWB532","NWB","Niwot","ABLA","C","LIVE",21.7,1,2,"B","Y",1810
"NWB533","NWB","Niwot","ABLA","C","LIVE",14.7,1,2,"B","N",NA
"NWB534","NWB","Niwot","PIEN","C","LIVE",22.3,1,2,"B","Y",1842
"NWB541","NWB","Niwot","PICO","C","LIVE",7.1,1,2,"B","Y",1937
"NWB542","NWB","Niwot","ABLA","C","LIVE",6.5,1,2,"B","Y",1905
"NWB543","NWB","Niwot","ABLA","C","LIVE",11.5,1,2,"B","Y",1925
"NWB544","NWB","Niwot","PICO","C","LIVE",30.5,1,2,"B","Y",1795.5
"NWB551","NWB","Niwot","PICO","C","LIVE",32,1,2,"B","Y",1772.5
"NWB552","NWB","Niwot","PIEN","C","LIVE",10.2,1,2,"B","Y",1923
"NWB553","NWB","Niwot","PICO","C","LIVE",41,1,2,"B","Y",1804
"NWB554","NWB","Niwot","ABLA","C","LIVE",19.8,1,2,"B","Y",1899
"NWB561","NWB","Niwot","PICO","C","LIVE",34.1,1,2,"B","Y",1749.5
"NWB562","NWB","Niwot","PICO","C","LIVE",30.7,1,2,"B","N",NA
"NWB563","NWB","Niwot","PICO","C","LIVE",7.9,1,2,"B","N",NA
"NWB564","NWB","Niwot","ABLA","C","LIVE",19.5,1,2,"B","Y",1831
"NWB611","NWB","Niwot","ABLA","C","LIVE",8.2,1,2,"B","Y",1844
"NWB612","NWB","Niwot","ABLA","C","LIVE",17.3,1,2,"B","Y",1829
"NWB613","NWB","Niwot","PIEN","C","DEAD",14.8,1,2,"B","N",NA
"NWB614","NWB","Niwot","ABLA","C","LIVE",14,1,2,"B","Y",1823
"NWB621","NWB","Niwot","PIEN","C","LIVE",6.2,1,2,"B","N",NA
"NWB622","NWB","Niwot","ABLA","C","LIVE",10.3,1,2,"B","Y",1909
"NWB623","NWB","Niwot","ABLA","C","LIVE",11.3,1,2,"B","Y",1920.5
"NWB624","NWB","Niwot","PIEN","C","LIVE",15.1,1,2,"B","Y",1827
"NWB631","NWB","Niwot","PIEN","C","LIVE",20.9,1,2,"B","Y",1871
"NWB632","NWB","Niwot","PICO","C","LIVE",30.8,1,2,"B","Y",1794.5
"NWB633","NWB","Niwot","ABLA","C","LIVE",22.9,1,2,"B","Y",1829.5
"NWB634","NWB","Niwot","PICO","C","DEAD",25.6,1,2,"B","Y",1767
"NWB641","NWB","Niwot","ABLA","C","LIVE",9.5,1,2,"B","Y",1918
"NWB642","NWB","Niwot","ABLA","C","LIVE",12,1,2,"B","N",NA
"NWB643","NWB","Niwot","PICO","C","LIVE",9.4,1,2,"B","Y",1925
"NWB644","NWB","Niwot","ABLA","C","LIVE",19.1,1,2,"B","Y",1909
"NWB651","NWB","Niwot","ABLA","C","DEAD",16.2,1,2,"B","Y",1790
"NWB652","NWB","Niwot","ABLA","C","LIVE",8.5,1,2,"B","Y",1867.5
"NWB653","NWB","Niwot","ABLA","C","LIVE",13.6,1,2,"B","N",NA
"NWB654","NWB","Niwot","PIEN","C","LIVE",20.3,1,2,"B","Y",1946
"NWB661","NWB","Niwot","ABLA","C","LIVE",20.8,1,2,"B","Y",1872.5
