"Site","tmean","precip","Year"
"Austin Cary FL",26.3288889338507,948.664363673678,1912
"Duke Hardwood",23.6513107135729,451.655288267884,1912
"Duke Loblolly",23.651757509336,450.964143695248,1912
"Florida Plantation",26.4115857746622,951.140017563672,1912
"Harvard",16.7466560638959,380.452638007637,1912
"Howland",15.5969443813728,504.261293419457,1912
"Michigan AmerifluxTower",15.373725760216,371.117028587069,1912
"Michigan Facet Site",15.4058319210835,375.35532580858,1912
"Missouri Ozark",22.2473464575967,497.38785577324,1912
"Morgan Monroe State Park",21.0765006831339,588.189286832258,1912
"Oak Openings Toledo",19.6368383807807,406.211488031907,1912
"Savannah River",25.6578155876832,627.026128463137,1912
"Valles Caldera Lower",11.9533911068299,250.911158202425,1912
"Valles Caldera Upper",9.97803724718083,271.261999287181,1912
"Willow Creek",14.9221900618156,559.503789019625,1912
"Austin Cary FL",25.49761470769,699.280592499154,1913
"Duke Hardwood",23.0159239140562,574.940163029653,1913
"Duke Loblolly",23.0254549371698,573.661930281392,1913
"Florida Plantation",25.5555052806168,688.731694584092,1913
"Harvard",16.5705027365058,328.217187110294,1913
"Howland",15.4823714412012,377.145680293528,1913
"Michigan AmerifluxTower",16.1803015866635,290.015735597977,1913
"Michigan Facet Site",16.2002461795474,291.750840347772,1913
"Missouri Ozark",23.9588015680905,333.406532274034,1913
"Morgan Monroe State Park",22.6498512073019,318.88856876186,1913
"Oak Openings Toledo",20.0133771144905,340.523808107733,1913
"Savannah River",25.4124804996205,488.405563311691,1913
"Valles Caldera Lower",12.4004022320021,293.203899014644,1913
"Valles Caldera Upper",10.5233290073842,329.004447626065,1913
"Willow Creek",15.66733136921,529.283581604433,1913
"Austin Cary FL",26.2683834949194,635.852601908137,1914
"Duke Hardwood",23.455293265648,433.153329412337,1914
"Duke Loblolly",23.4542039401752,433.295914694154,1914
"Florida Plantation",26.2556359491661,638.686418256305,1914
"Harvard",16.7350688684722,289.296376354663,1914
"Howland",15.8732631218357,338.553299587862,1914
"Michigan AmerifluxTower",16.59609681613,283.497799292021,1914
"Michigan Facet Site",16.613827837334,286.965059589064,1914
"Missouri Ozark",23.8762119037715,396.973764990946,1914
"Morgan Monroe State Park",22.6468848786669,348.050061929744,1914
"Oak Openings Toledo",20.146415200614,418.511684851422,1914
"Savannah River",25.615418239127,508.147298507569,1914
"Valles Caldera Lower",12.7322386855424,347.858550926979,1914
"Valles Caldera Upper",10.8085152585464,383.562775809101,1914
"Willow Creek",15.8753415856408,582.368467792262,1914
"Austin Cary FL",26.9201315562782,616.731475044962,1915
"Duke Hardwood",23.1834031817385,550.47320386326,1915
"Duke Loblolly",23.185180805386,548.388667149731,1915
"Florida Plantation",26.9667672885042,624.215545923231,1915
"Harvard",16.4518046864831,538.246331438804,1915
"Howland",15.994771990199,490.057534388001,1915
"Michigan AmerifluxTower",14.6549280099556,338.432211219325,1915
"Michigan Facet Site",14.6819627331455,341.3793626287,1915
"Missouri Ozark",20.8193144458573,793.541197691859,1915
"Morgan Monroe State Park",20.2735787869667,689.343694260037,1915
"Oak Openings Toledo",18.0967402012496,539.467536742067,1915
"Savannah River",25.8675809608376,591.93983186822,1915
"Valles Caldera Lower",11.5813454290644,319.016803018282,1915
"Valles Caldera Upper",9.613119038333,348.912247812796,1915
"Willow Creek",13.5419395690466,541.845480045394,1915
"Austin Cary FL",25.8628314870918,683.235114141066,1916
"Duke Hardwood",23.0036445745225,606.162094654682,1916
"Duke Loblolly",23.0027479785358,605.408549527205,1916
"Florida Plantation",25.8834672759093,697.198493682323,1916
"Harvard",16.7268036909428,641.548083526437,1916
"Howland",16.4335664724781,553.016546696221,1916
"Michigan AmerifluxTower",16.2383203805455,360.573601039329,1916
"Michigan Facet Site",16.263949793336,360.315576911379,1916
"Missouri Ozark",22.6932843296618,482.50662723211,1916
"Morgan Monroe State Park",21.6781959188079,505.17269029606,1916
"Oak Openings Toledo",20.1726250705266,361.189591774676,1916
"Savannah River",25.4242079899022,628.235412200108,1916
"Valles Caldera Lower",12.468665564938,296.488385464931,1916
"Valles Caldera Upper",10.5440736211782,337.756607540228,1916
"Willow Creek",15.520670284473,508.327880871182,1916
"Austin Cary FL",25.529238385002,640.80238677736,1917
"Duke Hardwood",22.038471315471,614.218028244141,1917
"Duke Loblolly",22.0379686528929,613.277471930608,1917
"Florida Plantation",25.5553860992665,660.163908042615,1917
"Harvard",15.9279009177618,446.424993014583,1917
"Howland",15.4214301999144,550.445184547086,1917
"Michigan AmerifluxTower",14.0444535436908,334.740411608206,1917
"Michigan Facet Site",14.074179998319,336.967097077129,1917
"Missouri Ozark",21.0701730243565,409.28650891338,1917
"Morgan Monroe State Park",20.1914538820377,543.400217052617,1917
"Oak Openings Toledo",17.9285021000839,409.586095436515,1917
"Savannah River",24.5941230112892,560.177734758837,1917
"Valles Caldera Lower",11.9756515351313,235.91463587584,1917
"Valles Caldera Upper",10.054995065675,279.791857485893,1917
"Willow Creek",13.8533662050568,361.967828470137,1917
"Austin Cary FL",25.6388131199388,626.17186283906,1918
"Duke Hardwood",22.6362704761276,498.855874027958,1918
"Duke Loblolly",22.6358872357273,498.49632523711,1918
"Florida Plantation",25.6496746687005,616.841290069659,1918
"Harvard",16.8901041439432,492.567053842539,1918
"Howland",15.6823499627932,515.301404690619,1918
"Michigan AmerifluxTower",15.1020128637657,365.954058571288,1918
"Michigan Facet Site",15.1159343898967,365.878491184777,1918
"Missouri Ozark",23.1358622483895,464.922494491569,1918
"Morgan Monroe State Park",21.4949343719751,523.21979592739,1918
"Oak Openings Toledo",19.847625531794,323.582555557631,1918
"Savannah River",25.0920306929061,436.226841233961,1918
"Valles Caldera Lower",12.6330422077817,208.299328363108,1918
"Valles Caldera Upper",10.7602884540006,222.500169610308,1918
"Willow Creek",14.8148640178069,491.777625287392,1918
"Austin Cary FL",25.8767750059611,824.244635151008,1919
"Duke Hardwood",23.0536142172209,641.767058874016,1919
"Duke Loblolly",23.0528700503739,641.575887731519,1919
"Florida Plantation",25.9100439997268,824.315247232668,1919
"Harvard",17.0508866177081,556.215946530877,1919
"Howland",16.017617739792,418.056046291068,1919
"Michigan AmerifluxTower",16.9569158957818,325.812849929957,1919
"Michigan Facet Site",16.9684821516333,326.935396544307,1919
"Missouri Ozark",22.5904341122614,552.561087383102,1919
"Morgan Monroe State Park",22.2899155632436,391.604206334759,1919
"Oak Openings Toledo",20.2124082740287,360.222282048967,1919
"Savannah River",25.042497980056,681.768344877117,1919
"Valles Caldera Lower",12.7699839942412,383.314995689262,1919
"Valles Caldera Upper",10.8223126240869,423.695345952408,1919
"Willow Creek",16.15449781191,504.756689165462,1919
"Austin Cary FL",25.7375345797204,885.407574252815,1920
"Duke Hardwood",22.498680365436,572.229884816642,1920
"Duke Loblolly",22.4998289560992,572.697200866368,1920
"Florida Plantation",25.8129012993975,898.115629016093,1920
"Harvard",16.7699652140579,552.860206539439,1920
"Howland",16.0309250102441,475.565404987628,1920
"Michigan AmerifluxTower",15.8262467766953,344.021016490997,1920
"Michigan Facet Site",15.8445651647093,345.996252384791,1920
"Missouri Ozark",21.8704480307783,464.566852981532,1920
"Morgan Monroe State Park",21.0879963442627,453.233123851389,1920
"Oak Openings Toledo",18.9663024350638,391.114049825262,1920
"Savannah River",24.9734361226353,523.135616074876,1920
"Valles Caldera Lower",12.2635156585139,288.411691427999,1920
"Valles Caldera Upper",10.3251748123913,329.186690504528,1920
"Willow Creek",15.2598394053819,411.883332967028,1920
"Austin Cary FL",26.1510233323943,613.982965233305,1921
"Duke Hardwood",24.1879547610355,344.74160211899,1921
"Duke Loblolly",24.17807311891,342.892021532505,1921
"Florida Plantation",26.2014151278608,621.062653671719,1921
"Harvard",17.4735773169319,465.738755884913,1921
"Howland",16.7976897708242,347.027762862315,1921
"Michigan AmerifluxTower",18.0660929151608,358.061832329582,1921
"Michigan Facet Site",18.0882752369735,357.732704611989,1921
"Missouri Ozark",23.7200332467956,684.586615774758,1921
"Morgan Monroe State Park",23.1920619954831,519.792097127522,1921
"Oak Openings Toledo",21.5287930407826,377.064722456732,1921
"Savannah River",25.6934433123063,613.0341802784,1921
"Valles Caldera Lower",12.7957863402289,387.847831380936,1921
"Valles Caldera Upper",10.8408304553138,421.392773435462,1921
"Willow Creek",17.4278519548057,454.369735636058,1921
"Austin Cary FL",25.4612480056293,767.413969707206,1922
"Duke Hardwood",23.5704488102082,524.843652105348,1922
"Duke Loblolly",23.5582078815176,524.221350726958,1922
"Florida Plantation",25.5811135001619,810.844596357097,1922
"Harvard",17.5250584159612,704.473837332003,1922
"Howland",16.2788518573641,570.222810832636,1922
"Michigan AmerifluxTower",16.6568610811417,383.028266848149,1922
"Michigan Facet Site",16.6882384308752,383.625182103795,1922
"Missouri Ozark",23.4755965881177,378.444106052258,1922
"Morgan Monroe State Park",22.5512255389149,317.886547245686,1922
"Oak Openings Toledo",20.3689232464461,392.590656826765,1922
"Savannah River",25.3274215473559,625.967300550171,1922
"Valles Caldera Lower",13.9005832020341,194.721980825573,1922
"Valles Caldera Upper",11.9728431463103,227.407782554709,1922
"Willow Creek",16.3995964048022,484.285784203044,1922
"Austin Cary FL",25.6793770889387,922.698668138477,1923
"Duke Hardwood",23.5932057965799,438.893244480993,1923
"Duke Loblolly",23.5827643929109,437.580930546236,1923
"Florida Plantation",25.7041304010161,934.92290422093,1923
"Harvard",16.6566417665485,303.547281608936,1923
"Howland",15.3398635749158,358.538947886396,1923
"Michigan AmerifluxTower",15.6083693101796,276.427148361275,1923
"Michigan Facet Site",15.6610123415649,276.885020229588,1923
"Missouri Ozark",22.2798131525541,496.602678860329,1923
