"CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie","plot","DBH..cm.","pith.offset","outer.present"
"ACA026B","ACA026","ACA","Austin Cary FL",26,"PIPA","C","LIVE",22.8,1,2,"B","Y",1921,1921,1922,2006,"Y",1922,2006,"Y",NA,"Y","A",NA,NA,NA
"ACA027A","ACA027","ACA","Austin Cary FL",27,"PIPA","C","LIVE",34.8,1,2,"A","N",1917,1927,1928,2014,"Y",1928,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA027B","ACA027","ACA","Austin Cary FL",27,"PIPA","C","LIVE",34.8,1,2,"B","N",1917,1921,1922,2014,"Y",1922,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA028A","ACA028","ACA","Austin Cary FL",28,"PIPA","C","LIVE",35.6,1,2,"A",NA,NA,1923,1924,2008,"Y",1924,2008,"Y",NA,"Y","A",NA,NA,NA
"ACA028B","ACA028","ACA","Austin Cary FL",28,"PIPA","C","LIVE",35.6,1,2,"B","N",1918,1921,1922,2007,"Y",1922,2007,"Y",NA,"Y","A",NA,NA,NA
"ACA029A","ACA029","ACA","Austin Cary FL",29,"PIPA","C","LIVE",37.2,1,2,"A","N",1944,1949,1950,2014,"Y",1950,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA029B","ACA029","ACA","Austin Cary FL",29,"PIPA","C","LIVE",37.2,1,2,"B",NA,NA,1960,1961,2014,"Y",1961,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA030A","ACA030","ACA","Austin Cary FL",30,"PIPA","C","LIVE",22.2,1,2,"A","N",1944,1947,1948,2011,"Y",1948,2011,"Y",NA,"Y","A",NA,NA,NA
"ACA030B","ACA030","ACA","Austin Cary FL",30,"PIPA","C","LIVE",22.2,1,2,"B","N",1951,1958,1959,2011,"Y",1959,2011,"Y",NA,"Y","A",NA,NA,NA
"ACA031A","ACA031","ACA","Austin Cary FL",31,"PIPA","C","LIVE",29.5,1,2,"A","Y",1952,1952,1953,2012,"Y",NA,NA,"N",NA,"Y","A",NA,NA,NA
"ACA031B","ACA031","ACA","Austin Cary FL",31,"PIPA","C","LIVE",29.5,1,2,"B","N",1943,1946,1947,2003,"Y",1928,2003,"Y","BREAK",NA,"A",NA,NA,NA
"ACA032A","ACA032","ACA","Austin Cary FL",32,"PIPA","C","LIVE",21.2,1,2,"A","N",1925,1927,1928,2010,"Y",1928,2010,"Y",NA,"Y","A",NA,NA,NA
"ACA032B","ACA032","ACA","Austin Cary FL",32,"PIPA","C","LIVE",21.2,1,2,"B","N",1927,1927,1928,2014,"Y",1928,2014,"Y",NA,NA,"A",NA,NA,NA
"ACB001A","ACB001","ACB","Austin Cary FL",1,"PIPA","SNAG","DEAD",26.8,1,2,"A","N",NA,1938,1939,2010,"Y",NA,NA,"N","ROTTEN",NA,"B",NA,NA,NA
"ACB001B","ACB001","ACB","Austin Cary FL",1,"PIPA","SNAG","DEAD",26.8,1,2,"B","N",1936,1937,1938,2008,"Y",1938,2008,"Y",NA,"Y","B",NA,NA,NA
"ACB002A","ACB002","ACB","Austin Cary FL",2,"PIPA","C","LIVE",28.5,1,2,"A","N",1934,1943,1944,2000,"Y",1944,2000,"Y","CUT, DIDN'T MEASURE OUTSIDE.",NA,"B",NA,NA,NA
"ACB002B","ACB002","ACB","Austin Cary FL",2,"PIPA","C","LIVE",28.5,1,2,"B","N",1935,1938,1939,2000,"Y",1939,2000,"Y","CUT, DIDN'T MEASURE OUTSIDE.",NA,"B",NA,NA,NA
"ACB003A","ACB003","ACB","Austin Cary FL",3,"PIPA","C","LIVE",33.2,1,2,"A","Y",1940,1940,1941,2014,"Y",1941,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB003B","ACB003","ACB","Austin Cary FL",3,"PIPA","C","LIVE",33.2,1,2,"B","N",1940,1940,1941,2014,"Y",1941,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB004A","ACB004","ACB","Austin Cary FL",4,"PIPA","C","LIVE",30.5,1,2,"A","N",1950,1953,1954,2014,"Y",NA,NA,"N",NA,NA,"B",NA,NA,NA
"ACB004B","ACB004","ACB","Austin Cary FL",4,"PIPA","C","LIVE",30.5,1,2,"B","Y",1949,1949,1950,2014,"Y",NA,NA,"N",NA,NA,"B",NA,NA,NA
"ACB005A","ACB005","ACB","Austin Cary FL",5,"PIPA","C","LIVE",33.5,1,2,"A","N",1945,1950,1951,2014,"Y",NA,NA,"N",NA,NA,"B",NA,NA,NA
"ACB005B","ACB005","ACB","Austin Cary FL",5,"PIPA","C","LIVE",33.5,1,2,"B","N",1944,1954,1955,2014,"Y",NA,NA,"N",NA,NA,"B",NA,NA,NA
"ACB006A","ACB006","ACB","Austin Cary FL",6,"PIPA","C","LIVE",22.9,1,2,"A","N",1921,1923,1924,2014,"Y",1924,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB006B","ACB006","ACB","Austin Cary FL",6,"PIPA","C","LIVE",22.9,1,2,"B","N",1920,1923,1924,2014,"Y",1924,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB007A","ACB007","ACB","Austin Cary FL",7,"PIPA","C","LIVE",33.3,1,2,"A","N",1937,1939,1940,2014,"Y",1940,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB007B","ACB007","ACB","Austin Cary FL",7,"PIPA","C","LIVE",33.3,1,2,"B","N",1937,1948,1949,2014,"Y",1949,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB008A","ACB008","ACB","Austin Cary FL",8,"PIPA","I","LIVE",10,1,2,"A","Y",1957,1957,1958,2014,"Y",NA,NA,"N",NA,NA,"B",NA,NA,NA
"ACB008B","ACB008","ACB","Austin Cary FL",8,"PIPA","I","LIVE",10,1,2,"B","N",1951,1959,1960,2014,"Y",NA,NA,"N",NA,NA,"B",NA,NA,NA
"ACB009A","ACB009","ACB","Austin Cary FL",9,"PIPA","C","LIVE",34.3,1,2,"A","Y",1921,1921,1922,2014,"Y",1922,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB009B","ACB009","ACB","Austin Cary FL",9,"PIPA","C","LIVE",34.3,1,2,"B","N",1918,1922,1923,2014,"Y",1923,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB010A","ACB010","ACB","Austin Cary FL",10,"PIPA","C","LIVE",27.2,1,2,"A","N",1920,1925,1926,2014,"Y",1926,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB010B","ACB010","ACB","Austin Cary FL",10,"PIPA","C","LIVE",27.2,1,2,"B","N",1917,1921,1922,2014,"Y",1922,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB011A","ACB011","ACB","Austin Cary FL",11,"PIPA","C","LIVE",29.9,1,2,"A","N",1919,1925,1926,2014,"Y",1926,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB011B","ACB011","ACB","Austin Cary FL",11,"PIPA","C","LIVE",29.9,1,2,"B","Y",1921,1921,1922,2014,"Y",1922,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB012A","ACB012","ACB","Austin Cary FL",12,"PIPA","C","LIVE",24.4,1,2,"A","N",1921,1927,1928,1990,"Y",NA,NA,"Y","CUT, DIDN'T MEASURE OUTSIDE.",NA,"B",NA,NA,NA
"ACB012B","ACB012","ACB","Austin Cary FL",12,"PIPA","C","LIVE",24.4,1,2,"B","N",1921,1925,1926,2014,"Y",1926,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB013A","ACB013","ACB","Austin Cary FL",13,"PIPA","C","LIVE",29.6,1,2,"A","Y",1934,1934,1935,2014,"Y",1935,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB013B","ACB013","ACB","Austin Cary FL",13,"PIPA","C","LIVE",29.6,1,2,"B","N",1933,1934,1935,2014,"Y",1935,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB014A","ACB014","ACB","Austin Cary FL",14,"PIPA","C","LIVE",28.9,1,2,"A","N",1918,1922,1923,1980,"Y",1923,1980,"Y","WOUND",NA,"B",NA,NA,NA
"ACB014B","ACB014","ACB","Austin Cary FL",14,"PIPA","C","LIVE",28.9,1,2,"B","N",1919,1920,1921,2005,"Y",1921,2005,"Y",NA,"Y","B",NA,NA,NA
"ACB015A","ACB015","ACB","Austin Cary FL",15,"PIPA","C","LIVE",28.4,1,2,"A","Y",1921,1921,1922,2009,"Y",1922,2009,"Y",NA,"Y","B",NA,NA,NA
"ACB015B","ACB015","ACB","Austin Cary FL",15,"PIPA","C","LIVE",28.4,1,2,"B","Y",1932,1932,1923,2014,"Y",1923,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB016A","ACB016","ACB","Austin Cary FL",16,"PIPA","C","LIVE",31.4,1,2,"A","N",1920,1923,1924,2014,"Y",1924,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB016B","ACB016","ACB","Austin Cary FL",16,"PIPA","C","LIVE",31.4,1,2,"B","Y",1922,1922,1923,2014,"Y",1923,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB017A","ACB017","ACB","Austin Cary FL",17,"PIPA","C","LIVE",26.7,1,2,"A","Y",1932,1932,1933,2014,"Y",1933,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB017B","ACB017","ACB","Austin Cary FL",17,"PIPA","C","LIVE",26.7,1,2,"B","Y",1932,1932,1933,2014,"Y",1933,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB018A","ACB018","ACB","Austin Cary FL",18,"PIPA","C","LIVE",28.8,1,2,"A","N",1935,1938,1939,2014,"Y",1939,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB018B","ACB018","ACB","Austin Cary FL",18,"PIPA","C","LIVE",28.8,1,2,"B","N",NA,1941,1942,2014,"Y",1942,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB019A","ACB019","ACB","Austin Cary FL",19,"PIPA","C","LIVE",28.5,1,2,"A","N",1933,1938,1939,2014,"Y",1939,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB019B","ACB019","ACB","Austin Cary FL",19,"PIPA","C","LIVE",28.5,1,2,"B","Y",1935,1935,1936,2014,"Y",1936,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB020A","ACB020","ACB","Austin Cary FL",20,"PIPA","C","LIVE",34.9,1,2,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,NA,NA
"ACB020B","ACB020","ACB","Austin Cary FL",20,"PIPA","C","LIVE",34.9,1,2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,NA,NA
"ACB021A","ACB021","ACB","Austin Cary FL",21,"PIPA","C","LIVE",29.7,1,2,"A","N",1932,1934,1935,2014,"Y",1935,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB021B","ACB021","ACB","Austin Cary FL",21,"PIPA","C","LIVE",29.7,1,2,"B","N",1932,1934,1935,2014,"Y",1935,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB022A","ACB022","ACB","Austin Cary FL",22,"PIPA","C","LIVE",24,1,2,"A","N",1934,1938,1939,2014,"Y",1939,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB022B","ACB022","ACB","Austin Cary FL",22,"PIPA","C","LIVE",24,1,2,"B","N",1932,1935,1936,2014,"Y",1936,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB023A","ACB023","ACB","Austin Cary FL",23,"PIPA","C","LIVE",32.6,1,2,"A","N",1925,1925,1926,2010,"Y",NA,NA,"N",NA,NA,"B",NA,NA,NA
"ACB023B","ACB023","ACB","Austin Cary FL",23,"PIPA","C","LIVE",32.6,1,2,"B","Y",1926,1926,1927,2012,"Y",1927,2012,"Y",NA,"Y","B",NA,NA,NA
"ACB024A","ACB024","ACB","Austin Cary FL",24,"PIPA","C","LIVE",32.7,1,2,"A","Y",1924,1924,1925,2014,"Y",1925,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB024B","ACB024","ACB","Austin Cary FL",24,"PIPA","C","LIVE",32.7,1,2,"B","N",1924,1925,1926,2014,"Y",1926,2014,"Y",NA,NA,"B",NA,NA,NA
"ACB025A","ACB025","ACB","Austin Cary FL",25,"PIPA","C","LIVE",13.6,1,2,"A","N",1936,1944,1945,2014,"Y",NA,NA,"N",NA,NA,"B",NA,NA,NA
"ACB025B","ACB025","ACB","Austin Cary FL",25,"PIPA","C","LIVE",13.6,1,2,"B","N",1936,1944,1945,2014,"Y",NA,NA,"N",NA,NA,"B",NA,NA,NA
