"TreeID","PlotID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","Tree","Basal.Area..cm2.","basal.area..m2.ha.","Density..stems.ha.","notes","Distance","Azimuth","plot"
"HOW1091","HOW1","Howland","PCRU","I","LIVE",13.7,1,2,91,147.4,0.277647929,18.83490451,NA,14.3,107,"1"
"HOW1092","HOW1","Howland","THOC","S","LIVE",11.6,1,2,92,105.7,0.199053254,18.83490451,NA,11.6,95,"1"
"HOW1093","HOW1","Howland","PCRU","C","LIVE",32,1,2,93,804.2,1.514792899,18.83490451,NA,15.2,117,"1"
"HOW1094","HOW1","Howland","TSCA","I","LIVE",37.6,1,2,94,1110.4,2.091360947,18.83490451,NA,15.4,115,"1"
"HOW1095","HOW1","Howland","PCRU","C","LIVE",25.4,1,2,95,506.7,0.954378698,18.83490451,NA,17.5,125,"1"
"HOW1096","HOW1","Howland","PCRU","C","LIVE",20.9,1,2,96,343.1,0.646168639,18.83490451,NA,17.6,132,"1"
"HOW1097","HOW1","Howland","PCRU","C","LIVE",20.9,1,2,97,343.1,0.646168639,18.83490451,NA,17,133,"1"
"HOW1098","HOW1","Howland","THOC","I","LIVE",21.2,1,2,98,353,0.664852071,18.83490451,NA,19.4,125,"1"
"HOW1099","HOW1","Howland","THOC","I","LIVE",26.2,1,2,99,539.1,1.015443787,18.83490451,NA,19.4,129,"1"
"HOW1100","HOW1","Howland","PCRU","C","LIVE",32.9,1,2,100,850.1,1.601198225,18.83490451,NA,19.8,123,"1"
"HOW1105","HOW1","Howland","ACRU","I","LIVE",16.4,1,2,105,211.2,0.397869822,18.83490451,NA,3.4,6,"1"
"HOW1106","HOW1","Howland","PIST","D","LIVE",48.9,1,2,106,1878.1,3.537292899,18.83490451,NA,4.8,54,"1"
"HOW1107","HOW1","Howland","PCRU","C","LIVE",21.7,1,2,107,369.8,0.69658284,18.83490451,NA,6.4,13,"1"
"HOW1108","HOW1","Howland","ACRU","S-I","LIVE",20.5,1,2,108,330.1,0.621671598,18.83490451,NA,4.9,3,"1"
"HOW1109","HOW1","Howland","PCRU",NA,"DEAD",31.8,1,2,109,794.2,1.49591716,18.83490451,NA,8.1,355,"1"
"HOW1110","HOW1","Howland","PCRU","I","LIVE",17,1,2,110,227,0.427514793,18.83490451,NA,9.5,4,"1"
"HOW1111","HOW1","Howland","PCRU","C","LIVE",15.5,1,2,111,188.7,0.355399408,18.83490451,NA,10.8,110,"1"
"HOW1112","HOW1","Howland","PIST","D","LIVE",48.4,1,2,112,1839.8,3.465325444,18.83490451,NA,13.1,19,"1"
"HOW1113","HOW1","Howland","PCRU","C","LIVE",16.8,1,2,113,221.7,0.417514793,18.83490451,NA,11.1,34,"1"
"HOW1114","HOW1","Howland","PCRU","C","LIVE",13.5,1,2,114,143.1,0.269600592,18.83490451,NA,9.3,36,"1"
"HOW1115","HOW1","Howland","ABBA",NA,"DEAD",13.6,1,2,115,145.3,0.273609467,18.83490451,NA,7.5,40,"1"
"HOW1116","HOW1","Howland","ACRU","I","LIVE",18.2,1,2,116,260.2,0.49,18.83490451,NA,10.2,71,"1"
"HOW1117","HOW1","Howland","ACRU","C","LIVE",14.5,1,2,117,165.1,0.31102071,18.83490451,NA,11.6,73,"1"
"HOW1118","HOW1","Howland","PCRU","C","LIVE",24.6,1,2,118,475.3,0.895207101,18.83490451,NA,10.5,65,"1"
"HOW1119","HOW1","Howland","PCRU","I","LIVE",17.4,1,2,119,237.8,0.447869822,18.83490451,NA,12.2,56,"1"
"HOW1120","HOW1","Howland","PCRU","C","LIVE",28.5,1,2,120,637.9,1.201553254,18.83490451,NA,12,44,"1"
"HOW1121","HOW1","Howland","THOC","C","LIVE",16.6,1,2,121,216.4,0.407633136,18.83490451,NA,12,43,"1"
"HOW1122","HOW1","Howland","PCRU","C","LIVE",23.4,1,2,122,430.1,0.81,18.83490451,NA,17.6,74,"1"
"HOW1123","HOW1","Howland","PCRU","C","LIVE",23.9,1,2,123,448.6,0.844985207,18.83490451,NA,17.9,78,"1"
"HOW1124","HOW1","Howland","PIST","D","LIVE",47.3,1,2,124,1757.2,3.309600592,18.83490451,NA,19.2,55,"1"
