"PlotID","TreeID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","plot","Tree","Basal.Area..cm2.","basal.area..m2.ha.","Density..stems.ha.","notes","Distance","Azimuth","Dated","Pith","Year.sample","Age"
"ACB","ACB017","Austin Cary FL","PIPA","C","LIVE",26.7,1,2,"B",17,559.9,0.44555625,7.957747155,NA,18.83,199,"Y",1932,2014,82
"ACB","ACB018","Austin Cary FL","PIPA","C","LIVE",28.8,1,2,"B",18,651.4,0.5184,7.957747155,NA,16.29,182,"Y",1935,2014,79
"ACB","ACB019","Austin Cary FL","PIPA","C","LIVE",28.5,1,2,"B",19,637.9,0.50765625,7.957747155,NA,15.78,167,"Y",1933,2014,81
"ACB","ACB020","Austin Cary FL","PIPA","C","LIVE",34.9,1,2,"B",20,956.6,0.76125625,7.957747155,"has a large fire scar",15.89,165,NA,NA,2014,NA
"ACB","ACB021","Austin Cary FL","PIPA","C","LIVE",29.7,1,2,"B",21,692.8,0.55130625,7.957747155,NA,12.5,166,"Y",1932,2014,82
"ACB","ACB022","Austin Cary FL","PIPA","C","LIVE",24,1,2,"B",22,452.4,0.36,7.957747155,NA,9.79,127,"Y",1934,2014,80
"ACB","ACB023","Austin Cary FL","PIPA","C","LIVE",32.6,1,2,"B",23,834.7,0.664225,7.957747155,NA,6.36,134,"Y",1926,2014,88
"ACB","ACB024","Austin Cary FL","PIPA","C","LIVE",32.7,1,2,"B",24,839.8,0.66830625,7.957747155,NA,0.95,56,"Y",1924,2014,90
"ACB","ACB025","Austin Cary FL","PIPA","C","LIVE",13.6,1,2,"B",25,145.3,0.273609467,18.83490451,NA,1.3,54,"N",1936,2014,78
"ACB","ACB026","Austin Cary FL","PIPA","C","LIVE",35.5,1,2,"B",26,989.8,0.78765625,7.957747155,NA,14.52,109,"Y",1928.5,2014,85.5
"ACB","ACB027","Austin Cary FL","PIPA","C","LIVE",33.8,1,2,"B",27,897.3,0.714025,7.957747155,NA,13.94,91,"Y",1931,2014,83
"ACB","ACB028","Austin Cary FL","PIPA","C","LIVE",25.5,1,2,"B",28,510.7,0.40640625,7.957747155,NA,9.05,71,"Y",1932,2014,82
"ACB","ACB029","Austin Cary FL","PIPA","C","LIVE",20.8,1,2,"B",29,339.8,0.2704,7.957747155,NA,15.96,50,"Y",1955,2014,59
"ACB","ACB030","Austin Cary FL","PIPA","C","LIVE",28.6,1,2,"B",30,642.4,0.511225,7.957747155,NA,16.69,49,"Y",1939,2014,75
"ACB","ACB031","Austin Cary FL","PIPA","C","LIVE",28.5,1,2,"B",31,637.9,0.50765625,7.957747155,NA,19.37,18,"Y",1944.5,2014,69.5
"ACB","ACB032","Austin Cary FL","PIPA","SNAG","DEAD",10.6,1,0,"B",32,88.2,0.166213018,18.83490451,"unstable, no core",10.85,135,NA,NA,2014,NA
"ACC","ACC001","Austin Cary FL","PIPA","SNAG","DEAD",22.4,1,0,"C",1,394.1,0.3136,7.957747155,"burned severely, no core",4.58,291,NA,NA,2014,NA
"ACC","ACC002","Austin Cary FL","PIPA","C","LIVE",37.7,1,2,"C",2,1116.3,0.88830625,7.957747155,NA,6.06,301,"Y",1917,2014,97
"ACC","ACC003","Austin Cary FL","PIPA","C","LIVE",27.6,1,2,"C",3,598.3,0.4761,7.957747155,NA,11.57,305,"Y",1947,2014,67
"ACC","ACC004","Austin Cary FL","PIPA","C","LIVE",35.3,1,2,"C",4,978.7,0.77880625,7.957747155,"has a fire scar @ base",15.23,273,"Y",NA,2014,NA
"ACC","ACC005","Austin Cary FL","PIPA","C","LIVE",29.4,1,2,"C",5,678.9,0.540225,7.957747155,NA,18.46,257,"Y",1931.5,2014,82.5
"ACC","ACC006","Austin Cary FL","PIPA","C","LIVE",30.5,1,2,"C",6,730.6,0.58140625,7.957747155,NA,16.09,226,"Y",1911,2014,103
"ACC","ACC007","Austin Cary FL","PIPA","C","LIVE",26.3,1,2,"C",7,543.3,0.43230625,7.957747155,NA,12.23,207,"Y",1912.5,2014,101.5
"ACC","ACC008","Austin Cary FL","PIPA","C","LIVE",23.5,1,2,"C",8,433.7,0.34515625,7.957747155,NA,6.86,210,"Y",1910,2014,104
"ACC","ACC009","Austin Cary FL","PIPA","C","LIVE",28.5,1,2,"C",9,637.9,0.50765625,7.957747155,NA,16.69,184,"Y",1915,2014,99
"ACC","ACC010","Austin Cary FL","PIPA","C","LIVE",27.3,1,2,"C",10,585.3,0.46580625,7.957747155,NA,13.94,161,"Y",1913.5,2014,100.5
"ACC","ACC011","Austin Cary FL","PIPA","C","LIVE",33.2,1,2,"C",11,865.7,0.6889,7.957747155,NA,8.24,157,"Y",1911,2014,103
"ACC","ACC012","Austin Cary FL","PIPA","C","LIVE",33,1,2,"C",12,855.3,0.680625,7.957747155,NA,5.67,144,"Y",1911.5,2014,102.5
"ACC","ACC013","Austin Cary FL","PIPA","C","LIVE",46.5,1,2,"C",13,1698.2,1.35140625,7.957747155,NA,11.56,143,"Y",1909,2014,105
"ACC","ACC014","Austin Cary FL","PIPA","C","LIVE",24,1,2,"C",14,452.4,0.36,7.957747155,NA,14.62,140,"Y",1914,2014,100
"ACC","ACC015","Austin Cary FL","PIPA","C","LIVE",27.3,1,2,"C",15,585.3,0.46580625,7.957747155,NA,12.34,128,"Y",1914,2014,100
"ACC","ACC016","Austin Cary FL","PIPA","C","LIVE",26.8,1,2,"C",16,564.1,0.4489,7.957747155,NA,10.59,125,"Y",1910.5,2014,103.5
"ACC","ACC017","Austin Cary FL","PIPA","C","LIVE",29.3,1,2,"C",17,674.3,0.53655625,7.957747155,NA,12.49,95,"Y",1920,2014,94
"ACC","ACC018","Austin Cary FL","PIPA","C","LIVE",23.3,1,2,"C",18,426.4,0.33930625,7.957747155,"tagged: 143",20,39,"Y",1914,2014,100
"ACC","ACC019","Austin Cary FL","PIPA","C","LIVE",36.5,1,2,"C",19,1046.3,0.83265625,7.957747155,"giant lightning scar, tag burned away",17.89,39,"Y",1912,2014,102
"ACC","ACC020","Austin Cary FL","PIPA","C","LIVE",33.5,1,2,"C",20,881.4,0.70140625,7.957747155,NA,14.49,41,"Y",1911,2014,103
"ACC","ACC021","Austin Cary FL","PIPA","C","LIVE",31.8,1,2,"C",21,794.2,0.632025,7.957747155,NA,12.65,50,"Y",1919,2014,95
"ACC","ACC022","Austin Cary FL","PIPA","C","LIVE",24.5,1,2,"C",22,471.4,0.37515625,7.957747155,NA,7.77,58,"Y",1923.5,2014,90.5
"ACC","ACC023","Austin Cary FL","PIPA","C","LIVE",26.5,1,2,"C",23,551.5,0.43890625,7.957747155,NA,5.14,49,"Y",1921.5,2014,92.5
"ACC","ACC024","Austin Cary FL","PIPA","C","LIVE",28.1,1,2,"C",24,620.2,0.49350625,7.957747155,NA,2.86,42,"Y",1916,2014,98
"ACC","ACC025","Austin Cary FL","PIPA","SNAG","DEAD",21.9,1,1,"C",25,376.7,0.29975625,7.957747155,"1 core, lots of rot",10.47,19,"Y",1919,2014,95
"ACC","ACC026","Austin Cary FL","PIPA","SNAG","DEAD",24,1,2,"C",26,452.4,0.36,7.957747155,"fire scar, rotten",12.73,26,"Y",NA,2014,NA
"DHA","DHA001","Duke Hardwood","QUBI","I","LIVE",15.7,1,2,"A",1,193.6,0.364630178,18.83490451,NA,7.99,137,"Y",1921,2014,93
"DHA","DHA002","Duke Hardwood","LIST","D","LIVE",17.9,1,2,"A",2,251.6,0.47397929,18.83490451,NA,10.87,136,"N",NA,2014,NA
"DHA","DHA003","Duke Hardwood","QUBI","D","LIVE",59.3,1,2,"A",3,2761.8,2.19780625,7.957747155,NA,12.41,103,"Y",NA,2014,NA
"DHA","DHA004","Duke Hardwood","QUPH","D","LIVE",55.5,1,2,"A",4,2419.2,1.92515625,7.957747155,"WILLOW OAK",2.08,54,"Y",1918,2014,96
"DHA","DHA005","Duke Hardwood","QUPH","C","LIVE",24.7,1,2,"A",5,479.2,0.38130625,7.957747155,NA,6.14,54,"Y",1915,2014,99
"DHA","DHA006","Duke Hardwood","QUPH","C","LIVE",43.1,1,2,"A",6,1459,1.16100625,7.957747155,NA,8.48,29,"Y",1910,2014,104
"DHA","DHA007","Duke Hardwood","ACRU","I","LIVE",21.3,1,2,"A",7,356.3,0.28355625,7.957747155,"VAR. TRILOBA",11.98,8,"N",1912,2014,102
"DHA","DHA008","Duke Hardwood","OAK","SNAG","DEAD",22.1,1,2,"A",8,383.6,0.30525625,7.957747155,NA,10.07,35,"Y",1918,2014,96
"DHA","DHA009","Duke Hardwood","ULMUS","SNAG","DEAD",20.8,1,2,"A",9,339.8,0.2704,7.957747155,NA,11.41,55,"N",1797,2014,217
"DHA","DHA010","Duke Hardwood","LIST","D","LIVE",66.1,1,2,"A",10,3431.6,2.73075625,7.957747155,NA,10.69,357,"N",1792,2014,222
"DHA","DHA011","Duke Hardwood","ULMUS","SNAG","DEAD",26.4,1,2,"A",11,547.4,0.4356,7.957747155,NA,5.37,350,"N",NA,2014,NA
"DHA","DHA012","Duke Hardwood","QUBI","C","LIVE",42,1,2,"A",12,1385.4,1.1025,7.957747155,NA,10.84,320,"Y",1918,2014,96
"DHA","DHA013","Duke Hardwood","LIST","I","LIVE",25.1,1,2,"A",13,494.8,0.39375625,7.957747155,NA,12.34,272,"N",NA,2014,NA
"DHA","DHA014","Duke Hardwood","ACRU","S","LIVE",15.9,1,2,"A",14,198.6,0.37397929,18.83490451,"VAR. TRILOBA",7.17,266,"N",1933.5,2014,80.5
"DHA","DHA015","Duke Hardwood","QUBI","I","LIVE",24.5,1,2,"A",15,471.4,0.37515625,7.957747155,NA,2.82,213,"Y",1921.5,2014,92.5
"DHA","DHA016","Duke Hardwood","OAK","SNAG","DEAD",27.8,1,0,"A",16,607,0.483025,7.957747155,"no core, rotten @ bottom",6.77,227,NA,NA,2014,NA
"DHA","DHA017","Duke Hardwood","QUBI","I","LIVE",24.5,1,2,"A",17,471.4,0.37515625,7.957747155,NA,8.58,225,"Y",1913,2014,101
"DHA","DHA018","Duke Hardwood","ULAL","D","LIVE",30.8,1,2,"A",18,745.1,0.5929,7.957747155,"2x check species, Ulmus?",10.62,226,"N",NA,2014,NA
"DHA","DHA019","Duke Hardwood","QUBI","I","LIVE",23,1,2,"A",19,415.5,0.330625,7.957747155,NA,9.79,182,"Y",1921,2014,93
"DHA","DHA020","Duke Hardwood","ULAL","I","LIVE",24.2,1,2,"A",20,460,0.366025,7.957747155,NA,8.23,157,"N",NA,2014,NA
"DHA","DHA021","Duke Hardwood","QUBI","I","LIVE",29.7,1,2,"A",21,692.8,0.55130625,7.957747155,NA,14.06,152,"Y",1905.5,2014,108.5
"DHA","DHA022","Duke Hardwood","FRAX","I","LIVE",31.7,1,2,"A",22,789.2,0.62805625,7.957747155,"was FRAM, now Frax",19.32,164,"Y",NA,2014,NA
"DHA","DHA023","Duke Hardwood","QUBI","C","LIVE",66.4,1,2,"A",23,3462.8,2.7556,7.957747155,NA,17.52,136,"Y",1914,2014,100
"DHA","DHA024","Duke Hardwood","ULMUS","SNAG","DEAD",22.2,1,2,"A",24,387.1,0.308025,7.957747155,NA,19.37,78,"N",1774.5,2014,239.5
"DHA","DHA025","Duke Hardwood","CAOV","D","LIVE",45.8,1,2,"A",25,1647.5,1.311025,7.957747155,NA,19.93,45,"Y",NA,2014,NA
"DHA","DHA026","Duke Hardwood","OAK","SNAG","DEAD",29.4,1,0,"A",26,678.9,0.540225,7.957747155,"no core",16.97,18,NA,NA,2014,NA
"DHA","DHA027","Duke Hardwood","FRAX","C","LIVE",37.9,1,2,"A",27,1128.2,0.89775625,7.957747155,"was FRAM, now Frax",18.95,12,"Y",NA,2014,NA
"DHA","DHA028","Duke Hardwood","QUPH","C","LIVE",45.6,1,2,"A",28,1633.1,1.2996,7.957747155,NA,19.89,355,"Y",1898,2014,116
"DHA","DHA029","Duke Hardwood","QUPH","I","LIVE",33.1,1,2,"A",29,860.5,0.68475625,7.957747155,NA,19.9,323,"Y",1918,2014,96
"DHA","DHA030","Duke Hardwood","ULAL","I","LIVE",30.3,1,2,"A",30,721.1,0.57380625,7.957747155,NA,13.89,325,"N",1810,2014,204
"DHA","DHA031","Duke Hardwood","QUBI","I","LIVE",34.4,1,2,"A",31,929.4,0.7396,7.957747155,NA,14.22,289,"Y",1918.5,2014,95.5
"DHA","DHA032","Duke Hardwood","CAOV","C","LIVE",41.4,1,2,"A",32,1346.1,1.071225,7.957747155,NA,16.88,266,"Y",NA,2014,NA
"DHA","DHA033","Duke Hardwood","ACRU","C","LIVE",31,1,2,"A",33,754.8,0.600625,7.957747155,"VAR. TRILOBA",19.92,237,"N",1938.5,2014,75.5
"DHA","DHA034","Duke Hardwood","ULAL","C","LIVE",24.5,1,2,"A",34,471.4,0.37515625,7.957747155,NA,15.02,239,"N",1804.5,2014,209.5
"DHA","DHA035","Duke Hardwood","CAOV","D","LIVE",38.6,1,2,"A",35,1170.2,0.931225,7.957747155,NA,14.05,215,"Y",NA,2014,NA
"DHA","DHA036","Duke Hardwood","ULAL","C","LIVE",20.1,1,2,"A",36,317.3,0.25250625,7.957747155,NA,16.7,211,"N",1813.5,2014,200.5
"DHA","DHA037","Duke Hardwood","ACRU","S","LIVE",23.5,1,2,"A",37,433.7,0.34515625,7.957747155,"VAR. TRILOBA, would be C if upright",19.21,198,"N",1909,2014,105
"DHA","DHA038","Duke Hardwood","NYSY","I","LIVE",24.9,1,2,"A",38,487,0.38750625,7.957747155,NA,19.61,177,"N",NA,2014,NA
"DHA","DHA039","Duke Hardwood","ULAL","C","LIVE",26.9,1,2,"A",39,568.3,0.45225625,7.957747155,NA,13.82,179,"N",1823,2014,191
"DHA","DHA099","Duke Hardwood","LIST","C","LIVE",32.4,1,2,"A",99,824.5,0.6561,7.957747155,NA,16.49,138,"N",1905.5,2014,108.5
"DHB","DHB001","Duke Hardwood","QUVE","D","LIVE",61.5,1,2,"B",1,2970.6,2.36390625,7.957747155,NA,5.29,265,"Y",1906,2014,108
"DHB","DHB002","Duke Hardwood","LITU","I","LIVE",19.9,1,2,"B",2,311,0.585813609,18.83490451,NA,8.74,245,"Y",1906,2014,108
"DHB","DHB003","Duke Hardwood","LITU","S","LIVE",12.2,1,2,"B",3,116.9,0.220177515,18.83490451,NA,6.1,250,"N",1900,2014,114
"DHB","DHB004","Duke Hardwood","NYSY","S","LIVE",11.9,1,2,"B",4,111.2,0.209482249,18.83490451,NA,3.97,229,"N",1909,2014,105
"DHB","DHB005","Duke Hardwood","LITU","D","LIVE",48.8,1,2,"B",5,1870.4,1.4884,7.957747155,NA,7.53,230,"Y",1905,2014,109
"DHB","DHB006","Duke Hardwood","LITU","C","LIVE",39.6,1,2,"B",6,1231.6,0.9801,7.957747155,NA,11.78,198,"Y",1897.5,2014,116.5
"DHB","DHB007","Duke Hardwood","LITU","I","LIVE",30.8,1,2,"B",7,745.1,0.5929,7.957747155,NA,11.78,180,"Y",1902.5,2014,111.5
"DHB","DHB008","Duke Hardwood","LITU","C","LIVE",43.9,1,2,"B",8,1513.6,1.20450625,7.957747155,NA,8.13,178,"Y",1901,2014,113
"DHB","DHB009","Duke Hardwood","CATO","D","LIVE",52.6,1,2,"B",9,2173,1.729225,7.957747155,"CENTER WOUND",3.26,160,"Y",NA,2014,NA
"DHB","DHB010","Duke Hardwood","LITU","I","LIVE",30.8,1,2,"B",10,745.1,0.5929,7.957747155,NA,12,150,"Y",NA,2014,NA
"DHB","DHB011","Duke Hardwood","LITU","S","LIVE",16.3,1,2,"B",11,208.7,0.393032544,18.83490451,NA,12.55,138,"N",1900,2014,114
"DHB","DHB012","Duke Hardwood","LITU","C","LIVE",41.7,1,2,"B",12,1365.7,1.08680625,7.957747155,NA,11.65,110,"Y",1897,2014,117
"DHB","DHB013","Duke Hardwood","ULAL","S","LIVE",20.5,1,2,"B",13,330.1,0.26265625,7.957747155,NA,1.48,57,"N",1851,2014,163
"DHB","DHB014","Duke Hardwood","NYSY","S","LIVE",11.8,1,2,"B",14,109.4,0.205976331,18.83490451,NA,3.02,44,NA,NA,2014,NA
"DHB","DHB015","Duke Hardwood","CATO","D","LIVE",43.3,1,1,"B",15,1472.5,1.17180625,7.957747155,NA,7.65,16,"Y",NA,2014,NA
"DHB","DHB016","Duke Hardwood","CAGL","C","LIVE",62.9,1,2,"B",16,3107.4,2.47275625,7.957747155,NA,7.1,321,"Y",NA,2014,NA
"DHB","DHB017","Duke Hardwood","CAGL","C","LIVE",40.5,1,1,"B",17,1288.2,1.02515625,7.957747155,NA,8.56,321,"Y",NA,2014,NA
"DHB","DHB018","Duke Hardwood","CATO","C","LIVE",73.3,1,2,"B",18,4219.9,3.35805625,7.957747155,NA,11.69,313,"N",NA,2014,NA
"DHB","DHB019","Duke Hardwood","QUAL","I","LIVE",20,1,2,"B",19,314.2,0.25,7.957747155,NA,11.75,306,"Y",1905,2014,109
"DHB","DHB020","Duke Hardwood","LITU","C","LIVE",32.4,1,2,"B",20,824.5,0.6561,7.957747155,NA,18.99,264,"Y",1927,2014,87
"DHB","DHB021","Duke Hardwood","LITU","C","LIVE",47.9,1,2,"B",21,1802,1.43400625,7.957747155,NA,17.97,235,"Y",1900.5,2014,113.5
"DHB","DHB022","Duke Hardwood","CAOV","I","LIVE",31,1,2,"B",22,754.8,0.600625,7.957747155,NA,15.18,239,"N",1917,2014,97
"DHB","DHB023","Duke Hardwood","LITU","C","LIVE",36.2,1,2,"B",23,1029.2,0.819025,7.957747155,NA,16.18,200,"Y",1916,2014,98
"DHB","DHB024","Duke Hardwood","LITU","C","LIVE",33.6,1,2,"B",24,886.7,0.7056,7.957747155,NA,16.59,184,"Y",1903.5,2014,110.5
"DHB","DHB025","Duke Hardwood","NYSY","I","LIVE",29.6,1,2,"B",25,688.1,0.5476,7.957747155,NA,17.21,170,"N",1816,2014,198
"DHB","DHB026","Duke Hardwood","LITU","C","LIVE",38.3,1,2,"B",26,1152.1,0.91680625,7.957747155,NA,16.83,134,"Y",1894,2014,120
"DHB","DHB027","Duke Hardwood","LITU","C","LIVE",46.8,1,2,"B",27,1720.2,1.3689,7.957747155,NA,14.38,131,"Y",1898,2014,116
"DHB","DHB028","Duke Hardwood","LITU","C","LIVE",46.2,1,2,"B",28,1676.4,1.334025,7.957747155,NA,18.84,108,"Y",1906,2014,108
"DHB","DHB029","Duke Hardwood","LITU","C","LIVE",28.5,1,2,"B",29,637.9,0.50765625,7.957747155,NA,17.17,108,"Y",1902.5,2014,111.5
"DHB","DHB030","Duke Hardwood","LITU","C","LIVE",35.4,1,1,"B",30,984.2,0.783225,7.957747155,"split stem, funky, took pics",18.65,54,"Y",NA,2014,NA
"DHB","DHB031","Duke Hardwood","CAGL","D","LIVE",63.8,1,2,"B",31,3196.9,2.544025,7.957747155,"has a tree fall scar",15.82,63,"Y",NA,2014,NA
"DHB","DHB032","Duke Hardwood","CAGL","C","LIVE",42.6,1,2,"B",32,1425.3,1.134225,7.957747155,NA,14.67,33,"N",NA,2014,NA
"DHB","DHB033","Duke Hardwood","LITU","I","LIVE",23.4,1,2,"B",33,430.1,0.342225,7.957747155,NA,18.68,14,"Y",1900.5,2014,113.5
